분류,지역,작품명,작가명,재질,규격(가로),규격(세로),규격(높이),설치일자,가격(원),건축물주소,연면적(㎡)
조각,전북/익산시,생성공간 - 소통,신**,"황동판(외형마감), 스테인레스 스틸(내부구조)",145,300,193,2012-11-15,88750000,전북 익산시 모현동1가 194-4,209648.88
조각,전북/익산시,내 마음의 정원,국**,화강석,500,130,300,2012-11-01,95500000,전북 익산시 모현동2가 배산택지개발지구 공동5블럭,143878.81
조각,전북/익산시,RENEW-nature,신**,"화강석, 브론즈",420,350,290,2012-11-01,95500000,전북 익산시 모현동2가 배산택지개발지구 공동5블럭,143878.81
조각,전북/전주시,Nature 2011,조**,"화강석, 스텐레스스틸",600,600,270,2012-10-12,72000000,전북 전주시 완산구 평화동3가 94-1외,58929.3
조각,전북/익산시,합창 sing in chorus,최**,"화강석, 스텐레스 스틸 황동",160,80,280,2012-09-18,74937000,전북 익산시 부송동 675,59653.84
조각,전북/익산시,하모니2011,조**,화강석(백색),220,100,211,2012-07-13,37000000,전북 익산시 송학동 138-24번지외 2필지,21540.98
공예,전북/익산시,Human & Space,김**,,,,,2012-05-31,120000000,전북 익산시 모현동1가 6,0
조각,전북/완주군,삶의 작은 찬가,오**,"화강석,스텐리스스틸",2.3,2.4,6.3,2012-05-17,175000000,전북 완주군 봉동읍 둔산리 873-2,61766.64
조각,전북/전주시,"전통, 현재, 미래",엄**,"화강석, 스테인레스스틸",180,160,350,2012-05-16,152000000,전북 전주시 덕진구 덕진동2가 683,61176.39
조각,전북/완주군,"행복하여라,생의 공간,내안의 대화",한**,,2.6,2.65,1.12,2012-04-26,212410000,전북 완주군 용진면 운곡리 975-78,14847.37
조각,전북/고창군,갈망,강**,,140,100,280,2012-02-24,99000000,전북 고창군 고창읍 석정리 795,0
조각,전북/고창군,사랑,강**,"화강석,고흥석,마강석",150,100,250,2012-02-24,108000000,전북 고창군 고창읍 석정리 795,0
조각,전북/전주시,관조-비상,소**,"화강석,고흥석",270,170,415,2012-02-08,135000000,전북 전주시 완산구 효자동2가 1154-1,16118.6
