연번,작가,부문,명제,제작년도,규격
589,강국진,판화,Jan-51,1975,29.8x39
590,강국진,판화,Feb-51,1975,29.8x39
591,강국진,판화,Jan-68,1975,27x29.8
592,강국진,판화,shape5,1973,19.5x29.7
593,강국진,판화,shape4,1973,19.5x29.7
594,강국진,판화,11월 20일,1973,15x19.3
595,강국진,판화,Jan-66,1975,29x38
596,강국진,판화,May-41,1974,25.5x33
597,강국진,판화,Nov-41,1974,36x33.2
598,강국진,판화,23-13,1973,19.5x30
599,강국진,판화,01월 27일,1973,29.5x39
600,강국진,판화,04월 19일,1973,11x33
601,강국진,판화,얼굴,1980,35x25
602,강국진,판화,263-3,1980,36x25
603,강국진,판화,02월 09일,1972,16.5x25.2
604,강국진,판화,07월 03일,1973,23x31.5
605,강국진,판화,situation,1973,32.5x26
606,강국진,판화,,1973,17x25.8
607,강국진,판화,Apr-59,1974,30.4x46.8
608,강국진,판화,Aug-55,1974,39.4x50
609,강국진,판화,147-1,1975,15x17.5
610,강국진,판화,146-1,1975,18x12
611,강국진,판화,,1976,13.8x9.8
612,강국진,판화,144-1,1975,9.5x13.5
613,강국진,판화,,1975,13.5x9
614,강국진,판화,,1975,10x13.5
615,강국진,판화,,1976,18.8x13.7
616,강국진,판화,,1975,14x10
617,강국진,판화,154-1,1980,5.8x4
618,강국진,판화,,1975,8x10
619,강국진,판화,,1975,13.5x18
620,강국진,판화,,1975,13.7x18
621,박생광,한국화,어유도,1969,60x77
622,심재섭,한국화,산수,1982,53X45.5
623,이병용,회화,추상,1992,40.5X64
624,중광,한국화,무당,1999,44X68
625,변관식,한국화,문어,1950,135X33
626,석도륜,한국화,산수,1987,73X61
627,서세옥,한국화,제비,1980,73X61
628,허민,한국화,산수,1950,127X32
629,전혁림,회화,달과 돛배,1956,41X53
630,전혁림,회화,노을,1973,53X41
631,전혁림,회화,안개속의 요트,1975,53X41
632,전혁림,회화,새,1976,41X53
633,전혁림,회화,달리는 돛배,1978,53X41
634,전혁림,회화,청의 돛배,1978,53X41
635,전혁림,회화,무제,1979,45.5X43
636,전혁림,회화,작품,1979,45.5X53
637,전혁림,회화,천지,1985,53x41
638,전혁림,회화,구성,1987,53X41
639,전혁림,회화,무제,1980,53X45
640,최영림,회화,여인,1966,38X44
641,최운,회화,누드,1966,32.5x22.5
642,최운,회화,게,1983,50.5X32
643,박성환,회화,임금,1972,24.5X19
644,서상환,회화,같이 살자 우(友)야!,1977,45.5X65
645,오영재,회화,풍경,1977,32.5X44.5
646,오영재,회화,파라다이스,1980,42X42
647,문미애,회화,무제,1982,80X63.4
648,정광화,회화,개구리,1982,35X25
649,허황,회화,무제,1984,40X58.6
650,전병현,회화,무제,1990,25.5X17.5
651,김남진,회화,,1991,46.5X66
652,김난영,회화,4월,1991,45X38
653,안종연,회화,무제,1991,65X50.5
654,김종근,회화,생성,1995,72.5X59.5
655,전선택,회화,초가,1995,24.5X33.2
656,이명미,회화,이상한 동물,1995,69X99
657,신성희,회화,별곡95-E,1995,30X24
658,강종열,회화,,1996,91X116.5
659,신옥진,회화,무제,1997,44.5X53
660,이광택,회화,그림이 통 안되는 날,1997,73X91
661,서상환,회화,간구자들,1998,106X370.5
662,전영근,회화,도시와 물고기,1999,43.5X43.5
663,히사유키 모가미,회화,무제,1999,68X49
664,심점환,회화,반가사유상,2000,60.5X72.7
665,유지 아카즈카,회화,Trees,2001,23.5X33
666,최경태,회화,J-1,2006,50X60.5
667,전혜원,회화,무제,2007,116.5X91
668,아스리 누그로호,회화,바위,2007,130X130
669,또 화이 남,회화,통영에서의 하루,2007,72.7X300
670,다이 트 랑,회화,평화,2007,162X130
671,남관,회화,추상,1980,44X68
672,김영교,회화,산,1980,38X5.3
673,안영일,회화,,1990,127X109
674,정광화,회화,병사,1980,76.5X43.5
675,정갑주,회화,변역-7,2008,87X140
676,정갑주,회화,변역-5,2008,70X87
677,김기창,드로잉,하와이 풍경,1967,19.5X13.5
678,채경혜,회화,렙소디 1996-2,1996,69X176
679,이영배,드로잉,마른 감,2000,35X40
680,이영배,드로잉,감,2002,
681,백순공,드로잉,무제,2006,39X53.9
682,황규백,판화,체온계,1979,31.5X31.5
683,정문현,판화,모뉴멘트,1980,47X44
684,송혜수,판화,무제,1987,58.5X43.5
685,송혜수,판화,여인,1987,59.5X48
686,유병엽,판화,풍경,1987,43.5X62
687,이성자,판화,귀천,2008,35.5X24.5
688,이 인,판화,바위,2008,40X62
689,최석운,판화,그리움,2008,44X44
690,김원숙,판화,휴식,2000,56X68
691,김원숙,판화,거울,2000,46X56
692,서상환,판화,간구자,2000,39.5X56.5
693,폴 아이즈 피리,판화,꽃,1960,64X49
694,라울 뒤피,판화,요술아줌마,1940,54X36.5
695,오우타,판화,여자,2000,76.5X61
696,오우타,판화,남자,2000,76X61
697,구마까이 모리가스,판화,추상,1930,36X27
698,구마까이 모리가스,판화,세서내재,1930,35X43
699,심문섭,조각,무제,1981,13.5X36.5X11
700,윤석남,조각,Wing2,2004,150X70X7
701,오제봉,서예,대은시중,1982,35X130
702,박해철,서예,한시,,23.2X830.2
703,송뢰,서예,대전(大篆),2007,
704,로과,서예,광래경세계(?來輕世界),2007,135X35
705,장정문,서예,학무교송(鶴舞喬松),2007,135X35
706,최덕상,서예,위응물(偉應物),2007,135X35
707,주효선,서예,마문충선생어구,2007,135X35
708,리효동,서예,고시일수,2007,135X35
709,양점충,서예,고시일수,2007,135X35
710,류항의,서예,부산월화시(釜山月畵詩),2007,135X35
711,북외,서예,고시일수,2007,135X35
712,왕광통,서예,장악주앙(長樂朱央),2007,135X35
713,석순증,서예,작문숙세(作文叔世),2007,135X35
714,왕문,서예,운련해기풍대조성(蕓蓮海氣風帶潮聲),2007,135X35
715,장영창,서예,고시일수,2007,135X35
716,란신량,서예,전각인고(篆刻印槁),2007,135X35
717,리홍해,서예,고시일수,2007,135X35
718,장효방,서예,고시일수,2007,135X35
719,침품암,서예,사기혹리렬전서(史記酷吏列傳序),2007,135X35
720,동동인,서예,갑골문(胛骨文),2007,135X35
721,조경산,서예,갑골문(胛骨文),2007,135X35
722,무전홍,서예,갑골문(胛骨文),2007,135X35
723,한동,서예,천창기악(天暢其樂),2007,135X35
724,고옥성,서예,혜풍화장(惠風和帳),2007,135X35
725,리간,서예,고시일수,2007,135X35
726,부용,서예,전각인고(篆刻印稿),2007,135X35
727,관치순,서예,사능지족(事能知足),2007,135X35
728,초봉군,서예,왕유시일수(王維詩一首),2007,135X35
729,의아연,서예,조관운해(朝觀蕓海),2007,135X35
730,곽덕준,회화,무의미 991,1999,194X194
731,권영호,회화,줄따라가는 회유,2007,91X584
732,안재덕,회화,기억의 언저리-이국풍경,1991,73X91
733,김일랑,회화,고도,1974,130.3X162.2
734,김종근,회화,적(積)97-1,1997,112.4X145.5
735,송용,회화,계곡,1990,112X162.2
736,강국진,회화,역사의 빛,1989,130X324
737,조영제,회화,진주성 서장대,1970,60X79
738,서재만,회화,파랑,1996,130.3X162.2
739,허황,회화,가변의식,2003,259.1X162.1
740,홍영표,회화,일출(日出),1988,58X108
741,전혁림,회화,이조풍물,1991,162.2X130.3
742,이응조,회화,정원,1960,100X72.7
743,김섭,회화,선택된 시간,1994,130.3X162.2
744,임봉규,회화,팔 벌린 여인,1999,150X150
745,김용식,회화,몸짓-1983,1983,140X132
746,이태길,회화,"축제:달, 구름, 학",2007,162.2X130.3
747,김용식,회화,몸짓1988-1,1988,110X180
748,이림,회화,초문(初聞),1955,65X53
749,박생광,한국화,매,1968,41.5X64
750,이선우,한국화,완도에서-00,2000,91X147
751,하미혜,한국화,나비-이미지,1990,162.2X130.3
752,허민,한국화,산수,1940,34.5X128
753,허민,한국화,메추라기와 국화,1956,31.5X123
754,김영진,한국화,풍경,1980,69X120.5
755,이철규,한국화,장수에서 끊어진 산들,2007,88X189
756,박종배,조각,반석,1996,50X50X39
757,김광우,조각,자연+인간+우연,1977,200X60X60
758,김종영,조각,작품66-1,1966,14X11X58
759,신상우,판화,현대인-방랑자의 협주곡,2006,96X137
760,이용길,판화,마당 78-2,1978,66X50
761,최성욱,판화,Dystaxia-n 50806002 이방인의 거리2,2006,62x100
762,이성구,판화,자연으로부터-96,1996,151X111
763,김현주,판화,예기치 않은 현상 0515,2005,142.5X102.5
764,김봉태,판화,Window series2,2004,70X70
765,김태호,판화,내재율 96-A,1996,64X44
766,김형대,판화,후광98-720,1998,40X80
767,서승원,판화,동시성06-1112,2006,50X80
768,윤명로,판화,조망MV2-625,2007,69X80
769,하동철,판화,빛83-E,1983,100X70
770,윤환수,서예,한마음(心),2008,130X150
771,정기호,서예(전각),선(禪),1985,70X45
772,정도준,서예,천지인(天地人),2007,176X94
773,김호,서예,난의송심(蘭意松心),1981,200X35 2폭
774,설창수,서예,정몽주 시,1991,135X35 8폭
775,월하,서예,불경,1988,135X35 10폭
776,정현복,서예,칠언연구병풍,1962,128X31 10폭
777,박후상,서예,세가일화 처처자우,2005,109.5x69
778,황영두,한국화,매화,1950,89x326(표구 167x44.5x8)
779,조정규,한국화,산수,1950,122x31.5x10(표구 180.5x45x10)
780,하인두,회화,만다라,1980,45.5x33(액자 64x51.5)
781,전국광,조각,적-변이,1979,25x41.5x105.5
782,현재호,회화,무제,1985,131X187(액자 147.5x200)
783,송수련,한국화,내적시선,2003,140x150.5
784,박종갑,회화,근원(根源),2005,162.2x130.3(액자 165x133)
785,정범태,사진,말과 마부,1956,23.5x45
786,전뢰진,조각,사랑과 밑음,2007,47x40x27
787,김용수,회화,판도라의 정원,1997,162x228
788,장진만,회화,화(和),2004,91x177(액자 94x180.5)
789,황원철,회화,바람81-1,1981,130x130(액자 133x133)
790,신동효,조각,돛대는 아니 달고,2008,97.5x242x81
791,신현국,사진,생존,1962,46.5x60.7
792,신현국,사진,앗 터졌다.(동심),1952,50x60.7
793,서규원,사진,목가,1972,42x61
794,김아타,사진,온 에어 프로젝트 160-13 인디아 시리즈,2007,179.5x229(액자 188.5x248.5)
795,김아타,사진,"온 에어 프로젝트 055-2, 리듬 앤 블루스",2004,167.5x224.3(액자 177x234)
796,김진관,한국화,진달래,2009,162x130(액자 165x133)
797,서정태,한국화,푸른초상,2007,158.5x158.5(액자 167x167)
798,변상봉,한국화,공 - 바라밀다,1980,120x110(액자 122.5x113)
799,변상봉,한국화,유동,1968,215x174
800,정인성,사진,바람부는 날,1957,51x61
801,정인성,사진,노인,1942,61x51
802,리영달,사진,맹투,1962,39.4x57.5
803,배형식,조각,발레하는 소녀,1990,108x42x34
804,정연두,사진,Location#8,2006,120.5x157.5(액자 124x161)
805,정연두,사진,Location#9,2006,120.5x154.5(액자 126x161)
806,이철주,한국화,치허(致噓)-비우다,2006,149.5x250(액자 152x252)
807,조환,한국화,수요일,2007,189x96(액자 210.5x109)
808,전준,조각,소리-간구,1978,86x43x13.5
809,박석원,조각,적(積)-8227,1982,58.5x24.5x23.5
810,박석원,조각,적(積)-7327,1973,"12x34x171, 18x34x174"
811,윤형근,회화,작품-8407,1984,144x111(액자 147.5x114.5)
812,윤형근,회화,작품-8314,1983,114x145.5
813,박성환,회화,농무,1977,18X25.5
814,박용인,회화,풍경,1984,14X18
815,손일봉,회화,노을,,39X45
816,이경희,회화,바다풍경,,37.5X52
817,이영배,회화,청도마른감,2000,35X39.5
818,임직순,회화,양평풍경,1986,22X30.5
819,최운,회화,게 두 마리(파란 돌 위),1965,30X23
820,최운,회화,투해,1978,35.5X44
821,최운,회화,게,1979,21X31
822,김종식,회화,정물,,22X31
823,박윤성,회화,거북,1981,53X41
824,박춘재,회화,누드,1993,38X50
825,우신출,회화,진주 촉석루,1986,24X33
826,이병용,회화,추상,1992,64X81
827,최운,회화,풍경,1979,50X25
828,이영배,회화,청도 마른 감 뎃생,2000,35X39.5
829,최운,회화,게,1981,30.5X35
830,최운,회화,바다가재,1983,58X22
831,최운,회화,게(그림자),1981,35.5X50
832,최운,회화,대게,1983,36.5X50
833,최운,회화,생태,1960,30.5X53
834,이남규,회화,추상,1986,12X19
835,김종복,회화,충무풍경,1980,24.5X35
836,안창홍,회화,백록담(남자),2006,70X49
837,안창홍,회화,백록담(여자),2006,70X49
838,최운,회화,게 두 마리,1981,32X24
839,최운,회화,정물(화병),1974,33.5X26
840,최운,회화,앵기밭골,1987,31X49
841,최운,회화,수련,1986,37.5X52
842,최운,회화,나들이,1977,32.5X40
843,최운,회화,게,1982,36X50
844,최운,회화,복어,1975,36X26
845,최운,회화,게 두 마리,1981,24X35
846,최운,회화,군상,1984,38X26
847,최운,회화,군상,1981,30X25.5
848,최운,회화,등나무,1977,25.5X21
849,최운,회화,만남,1986,17.5X24
850,최운,회화,행렬,1986,24X17
851,최운,회화,행렬,1978,24X17
852,최운,회화,인물,1976,25X21
853,이태호,회화,매미,1999,31X40
854,최운,회화,잉어,1978,49.5X36
855,최운,회화,행렬,1977,24.5X14
856,최운,회화,어,1972,19.5X30
857,최운,회화,게,1983,22X27
858,최운,회화,게 두 마리,1986,24X17
859,최운,회화,재회,1981,35X23
860,최운,회화,용,1979,33.5X23.5
861,박영숙,사진,Body and Sexuality,1997,197.5X100.7
862,정윤선,사진,자아,2005,49X24
863,권진규,드로잉,누드,,39X27
864,히사유키 모가미,드로잉,형태,2000,37X51.5
865,권영우,한국화,무제,1970,45.5X37.9
866,앙드레 코타보(Andre Cottavos),회화,마로니에 아래서 오찬(Le dejeuner sous marronniers),,114x162
867,윤병락,회화,탐스러운 상자,2009,113x242.5
868,신장식,회화,세본봉에서 바라본 집선봉과 동해바다,2005,145.5x291
869,김혜진,회화,Eye,2009,89.4x145.5
870,송해주,회화,공간-무의식,1996,181x181
871,김완수,회화,바라춤,2008,227x152
872,이상남,회화,유산(遺産),2009,80x163
873,박향미,회화,매트릭스,2008,125x165
874,송번수,판화,상대성 원리,1992,109x79
875,웨민쥔,판화,I Am Iconnic,2002,120x80 20pcs
876,이인화,판화,열려진 공간으로서의 이행-9320,1996,162x184
877,천진규,판화,연의 이미지-공간구성,2005,120x588
878,정헌조,판화,무제,2004,330x330
879,강동석,판화,묵-나무그림6,1998,122x160
880,차재홍,판화,고등어 0609,1996,82x103
881,엄정호,판화,관계 000523,2009,50x127
882,강준,판화,In-Out(Process of thinking)9701,1997,163x108
883,윤세희,판화,시각 속 공간,2006,62x175
884,백승관,판화,공존하기,2008,90x60
885,송번수,판화,상대성 원리,1992,109x79
886,이인화,판화,열러진 공간으로서의 이행-9961,1999,160x91
887,박예신,판화,Uncommon Day,2009,65x180
888,홍익종,판화,한국의 소나무,2005,150x264
889,최운,회화,자화상,1957,37x30
890,최운,회화,부인 초상,1977,26x18
891,최운,회화,자화상,1970,40x26
892,최운,회화,삼천포 우중,1980,26x38.5
893,김주석,회화,설경,1959,46x62
894,최운,드로잉,지리산(천왕봉 대피소),1947,15x23
895,최운,드로잉,여인,1965,13.7x17.5
896,최운,드로잉,광어,1979,19.5x12.5
897,최운,드로잉,삼천포 우중,1980,11x18
898,최운,드로잉,산,1981,18x11
899,최운,드로잉,길과 산,1987,9x18.7
900,황규백,판화,새,1981,33x35
901,황규백,판화,Poppy,1984,17.5x29.5
902,이철수,판화,손가락도 없이 떠 오르는 달,1992,36x41.5
903,노재환,판화,무제,2007,48x30
904,아네스 하아즈,판화,빗속의 여인,2008,80x80
905,아네스 하아즈,판화,빗속의 남자,2008,80x80
906,이응노,판화,문자도,,35x24.5
907,유영국,판화,노을,,47.5x56.5
908,유영국,판화,여명,,40x46
909,김원숙,판화,Full Moon boat,,56x75
910,김원숙,판화,악몽,,74x54
911,구마까이 모리가스,판화,세서내재,,42x32
912,샘 프란시스,판화,무제,,75.5x55
913,클로드 비알라,판화,무제,,198.5x61
914,클로드 비알라,판화,무제,,194.5x60.5
915,배재식,서예,칠언고시,,135x44
916,오제봉,서예,예서십곡병풍,1985,133x31 10폭
917,손재형,서예,전서,,32x128
918,조현판,서예,가고파,2007,"98x1,624"
919,하동주,서예,고시십곡병,,133x33 10폭
920,박영효,서예,시고(詩稿),1920,94.5x28.5
921,윤환수,서예,심중유심(心中有心),2009,197x290.3
922,묵희,서예,무이구곡가(武夷九曲歌),,105x31 10폭
923,정명수,서예,용비어천가(龍飛御天歌),,133x32 8폭
924,최명환,서예,지상(地上),2008,225x260
925,천갑녕,서예,원정매삼첩,2008,90x150
926,정명수,서예,반야심경(般若心經),,125x32 10폭
927,박금숙,서예,중용의 길,2010,170x400
928,권창륜,서예,향설해(香雪海),2010,130x66
929,임정기,서예,용비어천가(龍飛御天歌),1985,150x35 2폭
930,임재우,서예,장자구절(莊子句節),2008,205x140
931,양진니,서예,당시행초십곡병(唐詩行草十曲屛),1973,127.5x31.8 10폭
932,김용옥,서예,능인자안(能忍自安),1987,127x33
933,정명수,서예,청송록죽,1977,35x170
934,정현복,서예,적벽부(赤壁賦),1958,137x35 10폭
935,박시표,서예,사필귀정(事必歸正),,120x32.5
936,박시표,서예,8폭 병풍,,124x34 8폭
937,박지명,서예,반야심경(般若心經),1991,61x27 6폭
938,고동주,서예,예도무궁,,132.5x33
939,이문보,서예,한묵송휘황(翰墨頌輝煌),2002,
940,두충고,서예,,,134x67
941,황일명,서예,,,60.5x70.5
942,서영진,서예,,,137x73
943,소세경,서예,,,133x66.5
944,황지양,서예,,,136.5x68
945,두삼흠,서예,,,70.5x21.5
946,나나시마 오우추우,서예,한어(漢語),,132x67.5
947,오우라 튜센,서예,,,133x43
948,투투미 교쿠오,서예,,,134x47.5
949,타치노 쇼운,서예,,,134.5x67
950,테라시마 유호,서예,,,67x32
951,바바 베기규,서예,,,162x32
952,이와나가 세이호,서예,,,134x33
953,혼다 쿄튜,서예,,,135x32
954,기리아마 타이쥬,서예,,,67x32
955,토리야마 운가이,서예,,,132x32
956,이노우에 세이오,서예,,,133x32
957,기야 게이운,서예,,,131x35
958,에조 케이슈,서예,,,133x32
959,사카타 료쿠호,서예,,,135x32
960,키타무라 케이로,서예,,,135x33
961,마투오 켄신,서예,,,128.5x32.5
962,나가타 세이엔,서예,,,132.5x32
963,미야자키 사이코우,서예,,,67x38
964,미즈타 유호,서예,,,131x32
965,황현룡,문인화,일지송,1950,160x656
966,김종대,문인화,화훼도(花卉圖),,94x35 6폭
967,조원섭,문인화,매화연걸,2010,170x40 8폭
968,황영두,문인화,세한삼우(歲寒三友),,127x33 8폭
969,황현륭,문인화,묵모란,,101x37 8폭
970,"허민, 이규옥",문인화,화조도(花鳥圖),,129x33 2폭
971,박윤오,문인화,화훼도(花卉圖),1983,135x32
972,허민,문인화,화조어해(花鳥魚蟹),,130x33 10폭
973,서영찬,문인화,매화도(梅花圖),1992,70x182
974,성낙우,공예,빛의 성곽(城廓),2009,57x35x85
975,송광옥,공예,어떤 형상,2001,30x46x77
976,전경화,공예,빛+투영+표면공간,2010,143x74
977,김헌언,공예,선의 변주,2009,120x120x6
978,최봉수,공예,잃어버린 시간,1991,60x23x47
979,최주현,공예,상생·소멸,2005,60x60
980,오구환,공예,여름이 지나면,2004,37x83x17
981,황인철,공예,생(生),1994,21x22x66
982,우관호,공예,애(愛)-난(亂),2007,95x117x10
983,이광웅,공예,원형와문칠합(圓形渦紋漆盒),2010,25x34x34
984,진영섭,공예,본능,2008,101x15x27
985,최태문,한국화,장우(將牛),1998,270.3x123
986,최성숙,한국화,추억의 괌,1995,38.5x48
987,이진원,한국화,화지몽,2006,112.6x162.3
988,김형수,회화,겨울연가,2006,130.3x324.4
989,최행숙,회화,기(氣),2010,90x160 (x4)
990,마상철,사진,가업,1960,80x60
991,이재길,사진,몽환,2009,"60x120, 1/5"
992,허  휘,한국화,억새풀 능선,2002,57x150
993,전혁림,회화,세 개의 색면,1993,228x184
994,송주섭,회화,얼굴 1. 얼굴 2. 얼굴 3.,2003,91x62.2 (x3)
995,박상복,한국화,통영 소매물도 소견,2011,218x333
996,김안영,한국화,무리 또 무리,2002,181x136
997,현재호,회화,무제,1998,181x227
998,이강석,조각,개-폐,1986,56x31x121
999,황태갑,조각,잔상이후,1977,200x51x41
1000,강해중,한국화,춘일서정,2010,55x120
1001,구자옥,한국화,가을 날,2002,160x125
1002,김용식,회화,영원과 한계2,2006,362x227
1003,김영욱,조각,다음(多音),1986,45x89x24
1004,신동효,조각,어장 1,2010,101x140x225
1005,김상균,조각,2010 별들,2010,8x297x197
1006,김우태,사진,한국인의 풍류,1966,60x50
1007,리영달,사진,봄 바람,1959,40x58
1008,양해광,사진,창원의 옛 모습-도계마을,1969,100x60
1009,임덕현,한국화,자연의 이미지-흔적,2010,162.1x259.1
1010,정호경,한국화,산운(山韻),2010,68x136
1011,임형준,조각,소리-Bruit 2008,2008,78x18x35
1012,김학일,한국화,자연(自然)-감(感),2005,227x179
1013,이목일,회화,산정무한,1993,79x124
1014,황주리,회화,식물학,2009,130x162
1015,임동식,회화,자연예술가와 화가 - 가을,2005,130.5x162
1016,임옥상,회화,"꽃 - 생활의 발견 1,2",2010,195x210 (2점 1set)
1017,김봉구,조각,작품 2,1983,91x32x36
1018,남철,조각,파열,1987,50x18x120
1019,김기주,조각,추억의 안단테 - 영양가는 길 ll,2009,95x65x148
1020,김관수,사진,늪 #93,1999,"165x200, 3/10"
1021,김성훈,사진,"괘불전, 통도사성보박물관",2008,130x180
1022,박대조,사진,붐붐,2008,"183x221, 1/1"
1023,김기창,한국화,충무공,1959,23x31
1024,김기창,한국화,도인과 동지,1983,26x24
1025,천경자,한국화,실내풍경,1967,14x19
1026,장운상,한국화,미인도,,26.5x51
1027,성재휴,한국화,산수,,25x27.5
1028,이응노,한국화,산수,,31x63
1029,박생광,한국화,옥수수,,42x32
1030,박생광,한국화,원앙,,28x35
1031,서세옥,한국화,양산을 든 여인,,25x25
1032,박노수,한국화,산거,,27x23
1033,김구림,회화,석산,1958,46x33
1034,송혜수,회화,수련도,1965,13.5x16.5
1035,오영재,회화,항아리,1968,52x40
1036,최영림,회화,누드,1970,34x23
1037,이우환,회화,점,1974,27x38
1038,류시원,회화,인물,1980,25x34.5
1039,김원갑,회화,풍경,1982,22.5x31.5
1040,서상환,회화,기원85,1985,29x23
1041,최종태,회화,여인,1985,49x34
1042,김창열,회화,전쟁,1986,49x33.5
1043,현재호,회화,어시장,1990,50.5x73
1044,박서보,회화,Ecriture No.4,1996,21x26.5
1045,변종하,회화,노세노세,1998,28x29
1046,노원희,회화,남아 있는 풍경,2002,60x72.5
1047,김원숙,회화,천사 Whisper Ⅱ,2008,30.5x40.5
1048,이진이,회화,S씨의 초상,2009,50x40
1049,마리킴,회화,천사의 얼굴,2009,108x108
1050,전혜원,회화,무제,2010,53x45
1051,방정아,회화,여행-기시감,2010,65x91
1052,황염수,회화,장미,,17.5x14
1053,이상갑,회화,강변,,45.5x38
1054,이희중,회화,첩첩산중,,43x56
1055,이우환,드로잉,조응,1993,65x49
1056,이우환,드로잉,조용히,2006,32.5x41
1057,마리 로랑생,드로잉,세 여인,,12x14
1058,박고석,드로잉,풍경,,14.5x20.5
1059,김영욱,조각,다음(多音) I,1988,27×67×15
1060,김영욱,조각,다음(多音) II,1988,37×27×20
1061,히사유키 모가미,조각,WOOD,2000,67×37×31
1062,문신,조각,무제,1990,8×8×21.5
1063,문신,드로잉,무제,1976,32.5×50
1064,헬무트 뉴턴,사진,누드,,27.5X19.5
1065,유영운,조각,미디어의 눈,2009,87x80x176cm
1066,Sri Wahjuni Sariat,사진,Sunset,2011,58.9x88.4
1067,Sri Wahjuni Sariat,사진,Sunrise,2011,37.7x88.4
1068,Sri Wahjuni Sariat,사진,Fishing,2011,58.9x88.4
1069,Sri Wahjuni Sariat,사진,Rice Paddy,2011,58.9x88.4
1070,Sri Wahjuni Sariat,사진,Forest,2011,58.9x88.4
1071,Sri Wahjuni Sariat,사진,The happy Duck,2011,58.9x88.4
1072,Afdho,사진,Buffalo2,2011,49.4x74.3
1073,Afdho,사진,Boat1,2011,38.4x59.7
1074,Afdho,사진,Boat2,2011,49.4x74.3
1075,Afdho,사진,Fish Nets,2011,49.4x74.3
1076,Afdho,사진,Old Man,2011,59.7x38.9
1077,Afdho,사진,Old Woman,2011,49.2x39.3
1078,Alamsyah Rauf,사진,Duel,2011,42.4x59.7
1079,Alamsyah Rauf,사진,Kajang Weavers,2011,52.4x49.2
1080,Alamsyah Rauf,사진,Kids League,2011,39.8x59.7
1081,Alamsyah Rauf,사진,Rooster Wash,2011,42.9x59.7
1082,Alamsyah Rauf,사진,Sack Race,2011,38.4x59.7
1083,Sugiarto Eko Wardojo,사진,Shoe Repair,2011,49.4x74.3
1084,David Wirawan,사진,Bromo_1724,2011,39.3x59.7
1085,David Wirawan,사진,Ciwidey_0804,2011,39.3x59.7
1086,Edi Wibowo,사진,Plowing Season,2009,41.9x59.7
1087,Edi Wibowo,사진,Morning Activity,2008,44.8x59.7
1088,Edi Wibowo,사진,Loading Process,2007,59.7x44.8
1089,Effri Irawan,사진,Elderly Couple,2011,49.4x74.3
1090,Effri Irawan,사진,Fisherman,2011,49.4x74.3
1091,Effri Irawan,사진,Children2,2011,49.4x74.3
1092,Effri Irawan,사진,Children3,2011,49.4x74.3
1093,Effri Irawan,사진,Children4,2011,49.4x74.3
1094,Eko Sumartopo,사진,Work2,2011,39.8x59.7
1095,Eko Sumartopo,사진,Work3,2011,39.4x59.7
1096,Klaas Stoppels,사진,Photo Shoot,2011,74.3x49.4
1097,Klaas Stoppels,사진,Smiling Makes You Look Young,2011,74.3x49.4
1098,Klaas Stoppels,사진,Banana Man,2011,53.8x58.7
1099,Klaas Stoppels,사진,Wayang Production,2011,49.4x74.3
1100,Klaas Stoppels,사진,"Careful, Sharp!",2011,49.4x74.3
1101,Klaas Stoppels,사진,The Tailor,2011,44.5x59.7
1102,Klaas Stoppels,사진,Pots for a Living,2011,49.4x74.3
1103,Klaas Stoppels,사진,Art on the Movie,2011,49.4x68.4
1104,Irman Andriana,사진,Peek a Boo,2011,59.7x39.9
1105,Irman Andriana,사진,Yawn,2011,59.7x39.9
1106,Irman Andriana,사진,In between,2011,39.8x59.7
1107,Irman Andriana,사진,The Face,2011,66.8x49.5
1108,Pimpin Nagawan,사진,Bali Kecak Dance,2008,56x88.6
1109,Pimpin Nagawan,사진,Fisherman,2011,91.4x68.6
1110,Pimpin Nagawan,사진,Fisherman2,2010,49.9x88.7
1111,Pimpin Nagawan,사진,Fisherman4,2008,49.9x88.7
1112,Pimpin Nagawan,사진,Fisherman Village,2011,49.9x88.7
1113,Pimpin Nagawan,사진,Village Boy,2011,68.7x108.6
1114,Rafly Rinaldy,사진,Bathe in the Field,2011,39.4x59.7
1115,Rafly Rinaldy,사진,Colorful Make pung,2011,49.4x74.3
1116,Rafly Rinaldy,사진,Floating Market,2011,49.4x74.3
1117,Rafly Rinaldy,사진,Flying Horse,2011,49.4x74.3
1118,Rafly Rinaldy,사진,Golden Hour at Selorejo,2011,22x59.9
1119,Rafly Rinaldy,사진,Sack Race,2011,39.3x59.7
1120,Rafly Rinaldy,사진,Throwing Nets,2011,49.4x74.3
1121,Rafly Rinaldy,사진,Village Kitchen,2011,49.4x74.3
1122,Sugeng Sutanto,사진,The Shepherd,2011,42.7x59.7
1123,Sugeng Sutanto,사진,My old Time,2011,39.8x59.7
1124,Sugeng Sutanto,사진,Semangat Belajar,2011,39.4x59.7
1125,Sugeng Sutanto,사진,Ojhung-1,2011,39.4x59.7
1126,Sugeng Sutanto,사진,Ojhung-2,2011,38.2x59.3
1127,Sugeng Sutanto,사진,Suplhur Miner,2011,49.4x74.3
1128,Sugeng Sutanto,사진,Endless Road,2011,49.4x74.3
1129,Jeffry Surianto,사진,Beach,2011,68.8x103.1
1130,Jeffry Surianto,사진,Sea Rock,2011,68.8x103.1
1131,Jeffry Surianto,사진,Green Sea,2011,68.8x103.1
