연번,작가,부문,명제,제작년도,규격
135,김아타,사진,Museum project no. 002,1996,118×156
136,김아타,사진,Museum project no. 005,1997,118×156
137,김아타,사진,Museum project no. 010,1997,118×156
138,김아타,사진,Museum project no. 017,1997,118×158
139,김아타,사진,Museum project no. 018,1997,120x175
140,김아타,사진,Museum project no. 019,1999,118×158
141,김아타,사진,Museum project no. 035,1998,120x156
142,김아타,사진,Museum project no. 038,1998,118×156
143,김아타,사진,Museum project no. 046,1997,118×156
144,김아타,사진,Museum project no. 004,1997,118×156
145,김아타,사진,Museum project no. 025,1997,118×156
146,김아타,사진,Museum project no. 026,1997,156×118
147,김아타,사진,Museum project no. 028,1997,156×118
148,김아타,사진,Museum project no. 062,1999,120x156
149,양달석,회화,풍경,1950,35x47
150,노원희,회화,무소식,2001,60×72
151,유강렬,판화,무제,1970,42.5×31.5
152,김응기,한국화,메모,1987,51x82
153,설종보,회화,산복도로,2000,130×162×3
154,박생광,한국화,비봉풍경(비봉모),1943,47x67
155,박생광,한국화,금강산도병풍10곡,1963,128.5×32.5×10
156,박생광,한국화,귀소도,1970,60.6×72.7
157,박생광,한국화,나비와 창,1976,40.9x53
158,강신석,회화,제주풍경,1970,39.5×50
159,이태규,회화,산사,1977,51×44
160,전혁림,회화,도화,1970,40x49
161,이준,회화,A-70-D,1989,110×193
162,이준,회화,일월,1992,164x210
163,채준,회화,유리구슬,2002,130×162
164,채준,회화,호적이 없는 사람,2002,112×162
165,박종배,조각,무제(내려오는 자를 위하여),1983,53x43×130
166,김태정,회화,자연회귀,1990,120.5×162
167,유강렬,판화,달밤,1958,52x69
168,유강렬,판화,pond,1967,71x53
169,양달석,드로잉,풍경,1950,20×26
170,최영림,회화,인물,1974,46x27
171,이철수,판화,새소리,1994,61.5x41
172,심점환,회화,깊은잠 무기력,1997,90×72
173,설종보,회화,동강아리랑,2003,162×130×3
174,구로자키 아키라,판화,무제,1973,61×84
175,이상욱,판화,무제,1982,49×64
176,안창홍,회화,파리와 여인,1998,53x33.5
177,최운,한국화,새우,1984,34x16
178,최운,드로잉,새우,1980,10.5x26
179,박성환,회화,농악,1979,26x18
180,신창호,회화,풍경,1997,20x26
181,사석원,회화,닭,2001,22.5x15
182,황인학,조각,모자상,1984,33x25.5
183,김종근,회화,무제,1996,60×72.5
184,하인두,회화,청색조,1984,162x130
185,하인두,회화,작품,1985,162x130
186,하인두,회화,생명의 원,1988,130x162
187,하인두,회화,혼불-빛의 회오리,1988,130x162
188,문신,조각,흑단,1978,18.5×14.4×56
189,곽덕준,판화,사회-벽화,1992,45x55
190,김일랑,회화,고도의 봄,1997,110×144
191,김재규,회화,포구-97,1997,144.5×111.5
192,남정현,회화,산 이미지,1997,116.7x116.7
193,박종갑,회화,현존87-6,1987,58×70
194,송수남,한국화,호산정,1980,62.5×92
195,안재덕,회화,기억의 초상,1989,130×162
196,양태석,한국화,단양소견,1997,125×158.5
197,윤병석,회화,형,1997,130×162
198,이강화,회화,흐름-엉겅퀴,2001,64×91
199,이경수,한국화,만남9226,1992,162×130
200,이상갑,회화,삶(어시장),1980,143×110
201,이상갑,회화,지리산의 잔설,1984,31×52
202,이태규,회화,남망산에서 바라본 풍경,1967,65×72
203,이한우,회화,수향,1983,45×53
204,전혁림,회화,이조자수에서,1999,30×39
205,정문규,회화,EVE,1997,130×162
206,정상돌,회화,무학산,1980,51×44
207,정상돌,회화,마산항,1985,60×71.5
208,정상복,회화,가야산 풍경,1987,37×52.5
209,정상복,회화,풍경,1997,44.5×69.5
210,최광선,회화,산,1999,90×71
211,최운,회화,화락군해행렬도,1982,70×130
212,최운,회화,게,1987,35×24
213,홍석창,한국화,묵+논리,1995,168.5×132.5
214,황원철,회화,바람의 궤적,1995,130×162
215,문신,조각,和(화),1984,269×65×191
216,아쯔오 오카모토,조각,보금자리의 표면,2000,285x160x190
217,카를로스 바레이라,조각,무 마찰,2000,120x120x400
218,덕 부이스,조각,우리가 갈 곳,2000,800x700x200
219,플로리안 클레어,조각,240개의 세포,2000,390x390x390
220,제랄드 시칠리아노,조각,추락하는 이카루스,2000,90x195x410
221,가린 반 오메런,조각,달,2000,180x75x300
222,말톤 바로,조각,10개의 정육면체,2000,70x120x300
223,멜리톤 리베라,조각,어머니 지구-아버지 태양,2000,250x110x210
224,리날도 비지,조각,경남의 몬티벨로,2000,300x230x370
225,블라디미르 스코다,조각,세계의 축,2000,180×180×180
226,강은엽,조각,섬으로의 초대,2000,530x390x110
227,김광우,조각,인간+우연+자연,2000,223x150x150
228,김영욱,조각,푸가,2000,560x153x110
229,박상호,조각,생명2000,2000,920x158.5x500
230,심부섭,조각,존재 그 자체,2000,74x385.5x196
231,임동락,조각,point-人+間,2000,110x90x500
232,임형준,조각,소리2000,2000,140x70x600
233,정관모,조각,표상 의식의 현현,2000,60x60x420x3
234,정회만,조각,밀레니엄+마음,2000,250x400x300
235,한창조,조각,창원2000,2000,156x300x300
236,막스샤르볼렌,조각,델피의 마쌀리오트 유적,2003,360×262×520
237,다니엘 꾸브뢰르,조각,경남의 오벨리스크,2003,180×180×500
238,프란체스코 크레모니,조각,화석,2003,305×205×160
239,알버트 헤팅거,조각,숨겨진 용의 짝,2003,240×190×200
240,레널드 우소,조각,바람의 춤,2003,300×90×670
241,김종호,조각,직면,2003,170×180×210
242,김청정,조각,빛살.울림,2003,195×195×500
243,박종배,조각,추구,2003,370×300×355
244,연제동,조각,전언,2003,760×330×350
245,이갑열,조각,인간의 길,2003,396×124×320
246,이명림,조각,밀레니엄-방주,2003,439×247×160
