관리번호,부문,작품번호,작가명,생몰연도,명제,제작년도,규격(㎝),소장일자,기법 및 재료
326,사진,PH-88,신철균,1929,C-1990-12,1990,20×32,2006-01-02,흑백사진
327,사진,PH-89,신철균,1929,C-1990-25,1990,32×22,2006-01-02,흑백사진
328,사진,PH-90,신철균,1929,C-1990-27,1990,20×32,2006-01-02,흑백사진
329,사진,PH-91,신철균,1929,C-1992-05,1992,32×20,2006-01-02,흑백사진
330,사진,PH-92,신철균,1929,C-1992-22,1992,22×32,2006-01-02,흑백사진
331,사진,PH-93,신철균,1929,C-1993-07,1993,17×32,2006-01-02,흑백사진
332,사진,PH-94,신철균,1929,C-1994-17,1994,22×32,2006-01-02,흑백사진
333,사진,PH-95,신철균,1929,C-1999-9(A),1999,32×22,2006-01-02,흑백사진
334,사진,PH-96,신철균,1929,C-2000-9,2000,32×20,2006-01-02,흑백사진
335,사진,PH-97,신철균,1929,C-2001-02,2001,20×32,2006-01-02,흑백사진
336,사진,PH-98,신철균,1929,C-2001-07,2001,20×32,2006-01-02,흑백사진
337,사진,PH-99,신철균,1929,C-2001-72,2001,32×22,2006-01-02,흑백사진
338,사진,PH-100,신철균,1929,C-2001-89,2001,17×32,2006-01-02,흑백사진
339,사진,PH-101,신철균,1929,C-2002-20,2002,17×32,2006-01-02,흑백사진
340,사진,PH-102,신철균,1929,C-2002-54,2002,32×23,2006-01-02,흑백사진
341,한국화,KO-81,이응노,1904,묵죽도,1930,136.5×140,2006-06-22,비단에 먹
342,한국화,KO-82,이상찬,1948,근원-理氣化物圖(97-1),1997,131×163,2006-06-22,"장지에 석채, 먹, 염료"
343,한국화,KO-83,송만규,1955,광양 무등산에서 내려다 본 섬진강,2004,180×900,2006-06-22,종이에 수묵담채
344,한국화,KO-84,송만규,1955,생명,2004,300×420,2006-06-22,"한지에 먹, 채색"
345,한국화,KO-85,안성금,1958,부처의 소리,1993,767×141.5,2006-06-22,"캔버스에 화엄경과 아크릴릭, 크레용"
346,한국화,KO-86,안성금,1958,젊은 중,1985,157×100,2006-06-22,천에 먹
347,회화,PA-53,이종구,1954,백두대간-덕유산 향적봉에서,2002,65×260,2006-06-22,캔버스에 유채
348,회화,PA-54,강정진,1955,황혼이 머문 자리,2005,112×163,2006-06-22,캔버스에 유채
349,회화,PA-55,강정진,1955,내 마음의 아지랑이,1998,72.7×90.9,2006-06-22,캔버스에 유채
350,회화,PA-56,도병락,1958,시간속으로,1996,227×181,2006-06-22,캔버스에 유채
351,회화,PA-57,도병락,1958,시간속으로,1997,227×181,2006-06-22,캔버스에 유채
352,회화,PA-58,장호,1962,초상-중독,2004,50×100,2006-06-22,"장지에 먹, 아크릴릭"
353,회화,PA-59,장호,1962,초상-독서,2002,20호,2006-06-22,"장지에 먹, 호분, 아크릴릭"
354,판화,DP-15,지용출,1963,동고사,2004,175×91,2006-06-22,목판화에 채색
355,판화,DP-16,지용출,1963,전주천 삼봉,2004,36×180,2006-06-22,목판화에 채색
356,판화,DP-17,지용출,1963,모항의 바람,2001,93.5×93.5,2006-06-22,목판화
357,판화,DP-18,장민지에,1959,교향악단과 공중 그네곡예,2004,150×90,2006-06-22,판화
358,판화,DP-19,류우창훙,1968,저력,2004,150×85,2006-06-22,판화
359,판화,DP-20,리추안캉,1954,일가족 네 식구,2004,91×73.5,2006-06-22,판화
360,판화,DP-21,왕지엔루,1973,심미의 자성,2004,150×87,2006-06-22,판화
361,서예,CA-80,황욱,1898,행서4곡병,1991,133×248,2006-06-22,종이에 먹
362,서예,CA-81,황욱,1898,덕여해(德如海),1991,185×60,2006-06-22,종이에 먹
363,조각,SC-11,황순례,1946,추억만들기-기다림,1994,46×120×35,2006-06-22,대리석
364,조각,SC-12,황순례,1946,추억만들기-기다림,1995,70×36×33,2006-06-22,대리석
365,한국화,KO-87,박규환,1868,묵난도, ,41×147,2006-11-02,비단에 수묵
366,한국화,KO-88,조기석,1876,묵난죽도6곡병, ,131×32(×6),2006-11-02,종이에 수묵
367,한국화,KO-89,박호병,1878,사계산수도8곡병,1925,127×37(×8),2006-11-02,비단에 수묵담채
368,한국화,KO-90,서병갑,1900,호랑이, ,47×100,2006-11-02,비단에 수묵담채
369,한국화,KO-91,이상길,1901,금강산도8곡병,1943,95×30(×8),2006-11-02,종이에 수묵담채
370,한국화,KO-92,남궁훈,1929,산(山),1976,97×66,2006-11-02,종이에 수묵
371,회화,PA-60,김영창,1910,정물, ,32×41,2006-11-02,캔버스에 유채
372,회화,PA-61,김영창,1910,정물, ,45.5×37.9,2006-11-02,캔버스에 유채
373,회화,PA-62,추광신,1923,우하(雨夏), ,30×38,2006-11-02,종이에 수채
374,회화,PA-63,추광신,1923,금붕어, ,30×38,2006-11-02,종이에 수채
375,서예,CA-82,이삼만,1770,해서,1845,32×150,2006-11-02,종이에 먹
376,한국화,KO-93,임섭수,1940,봄,2006,102×173,2006-11-02,종이에 수묵담채
377,한국화,KO-94,조현동,1962,회상,1998,162×130,2006-11-02,한지에 석채
378,회화,PA-64,노은님,1946,바다,2006,150×210,2006-11-02,한지에 아크릴릭
379,회화,PA-65,하반영,1918,비자 없는 나그네,1988,130×162,2006-11-02,캔버스에 유채
380,회화,PA-66,이덕남,1923,정물,1979,53×45.5,2006-11-02,캔버스에 유채
381,회화,PA-67,조윤출,1933,도래지,1995,97×162,2006-11-02,캔버스에 유채
382,회화,PA-68,이상조,1952,모악산,1998,193×390,2006-11-02,혼합재료
383,서예,CA-83,여태명,1956,속미인곡(續美人曲),1988,240×145,2006-11-02,화선지에 먹
384,서예,CA-84,여태명,1956,성산별곡(星山別曲),2002,180×193,2006-11-02,화선지에 먹
385,사진,PH-103,세바스티앙 살가도,1944,읽는 법을 가르치기,1982,35.5×53,2006-11-02,흑백사진
386,사진,PH-104,세바스티앙 살가도,1944,코렘 캠프의 피난민들,1984,35.5×53,2006-11-02,흑백사진
387,사진,PH-105,세바스티앙 살가도,1944,세라 페라다의 금광,1986,30×44.5,2006-11-02,흑백사진
388,조각,SC-13,주영도,1944,순간에서 영혼으로,1989,206×59×64,2006-11-02,나무에 조각
389,조각,SC-14,주영도,1944,碑(비),1989,200×37×37,2006-11-02,나무에 조각
390,한국화,KO-95,방의걸,1938,화조도,1979,124×21(×2),2006-11-02,종이에 수묵담채
391,한국화,KO-96,임섭수,1940,강가에서,1997,55×83.5,2006-11-02,종이에 수묵담채
392,회화,PA-69,이종구,1954,기은리 할머니,1994,73×50,2006-11-02,종이에 아크릴릭
393,회화,PA-70,조문자,1939,광야에서,2004,70×92,2006-11-02,캔버스에 아크릴릭
394,회화,PA-71,조윤출,1933,독도,2006,80.5×117,2006-11-02,캔버스에 유채
395,사진,PH-106,김중만,1954,티파니 은젠도(4살),2004,250×170,2006-11-02,디지털 프린트
396,사진,PH-107,김중만,1954,카트만두의 거리 아이,2004,250×170,2006-11-02,디지털 프린트
397,사진,PH-108,김중만,1954,제임스의 방,2004,250×170,2006-11-02,디지털 프린트
398,사진,PH-109,성남훈,1963,루마니아 집시,1992,84×126,2006-11-02,디지털 프린트
399,사진,PH-110,성남훈,1963,르완다 난민,1997,48.5×73,2006-11-02,디지털 프린트
400,사진,PH-111,성남훈,1963,이라크 전쟁,2003,48.5×73,2006-11-02,디지털 프린트
401,사진,PH-112,성남훈,1963,아프카니스탄 전쟁,2002,126×84,2006-11-02,디지털 프린트
402,조각,SC-15,주영도,1944,晩(만),1989,45×100×14,2006-11-02,나무에 조각
403,한국화,KO-97,강영봉,1943,산수도8곡병,1998,117×327,2006-12-22,한지에 수묵담채
404,한국화,KO-98,정승섭,1941,길 없는 길,1994,117×297,2006-12-22,종이에 수묵
405,한국화,KO-99,이철규,1960,바람소리,2003,160×400,2006-12-22,한지에 수묵
406,한국화,KO-100,희상,1963,하나로 돌아가기Ⅲ,2006,130×162,2006-12-22,"종이에 황토, 혼합재료"
407,한국화,KO-101,희상,1963,하나로 돌아가기Ⅲ,2006,80×130,2006-12-22,"종이에 황토, 혼합재료"
408,한국화,KO-102,희상,1963,하나로 돌아가기Ⅲ,2006,100×130,2006-12-22,"종이에 황토, 혼합재료"
409,한국화,KO-103,문재성,1967,토정,2003,150×340,2006-12-22,"천에 수묵, 안료, 토분"
410,한국화,KO-104,김승호,1968,수묵여행-그리운 길7,2001,120×200,2006-12-22,요철지에 수묵
411,한국화,KO-105,김승호,1968,流墨-風,2003,204×145,2006-12-22,장지에 수묵
412,한국화,KO-106,유기종,1968,생각-자라나다,2002,146×194,2006-12-22,"천에 먹, 안료"
413,한국화,KO-107,유기종,1968,생각-움트다,2004,140×90(×2),2006-12-22,부직포에 안료
414,회화,PA-72,유휴열,1949,추어나 푸돗던고,2003,259.5×194,2006-12-22,캔버스에 유채
415,회화,PA-73,이동근,1950,독도,2006,205×205,2006-12-22,캔버스에 유채
416,회화,PA-74,오무균,1951,갯벌-休,2006,68×170,2006-12-22,캔버스에 유채
417,회화,PA-75,오무균,1951,갯벌-暗,2006,63×163,2006-12-22,캔버스에 유채
418,회화,PA-76,이성재,1950,출하,1988,162×130,2006-12-22,캔버스에 유채
419,회화,PA-77,이성재,1950,농가의 소견,1989,145×112,2006-12-22,캔버스에 유채
420,회화,PA-78,이종만,1951,비둘기,2005,130.5×193.5,2006-12-22,캔버스에 유채
421,회화,PA-79,이종만,1951,겨울산하,2004,98×130,2006-12-22,캔버스에 유채
422,회화,PA-80,선기현,1957,목욕,1990,195×250,2006-12-22,캔버스에 아크릴릭
423,회화,PA-81,신석호,1963,"의자, 한바퀴 돌다",2000,180×360,2006-12-22,캔버스에 유채
424,회화,PA-82,윤철규,1965,오! 독도-별총총,2006,130.5×162,2006-12-22,캔버스에 유채
425,회화,PA-83,서용인,1969,의식의 코드,2000,130×162,2006-12-22,캔버스에 유채
426,회화,PA-84,서용인,1969,의식의 코드 2002,2002,120×42(×24),2006-12-22,아크릴에 테이프
427,회화,PA-85,이주리,1972,독백,2006,112×145.5,2006-12-22,캔버스에 유채
428,회화,PA-86,김용수,1977,융합의 서곡,2005,259.1×193.9,2006-12-22,혼합재료
429,회화,PA-87,노은님,1946,봄을 타는 사람,1989,180×118,2006-12-22,한지에 혼합재료
430,회화,PA-88, 오스트로브스키,1953,슈바르츠발트의 문,4356,275×99×2,2006-12-22,나무문짝에 꼴라쥬
431,조각,SC-16,박종대,1941,태극,2002,41×30×16,2006-12-22,carrara statuario
432,조각,SC-17,박종대,1941,태극,2002,42×30.5×17,2006-12-22,portugallo rosa
433,조각,SC-18,정현도,1950,심흔(心痕),1981,148×45×35,2006-12-22,나무
434,조각,SC-19,백철수,1950,作品畵,1995,127×46×30,2006-12-22,브론즈
435,조각,SC-20,이송선,1968,옛날이야기,2006,87×150×60 70×150×55 60×100×45,2006-12-22,담홍색 화강석
436,조각,SC-21,윤길현,1973,찾아가는 작은 이야기,2006,62×21×20 36×14×13 37×85×37,2006-12-22,스테인레스 스틸
437,공예,CR-4,김윤환,1942,나의 의자,2006,133×58×50,2006-12-22,"흑단, 괴목, 홍단"
438,공예,CR-5,김윤환,1942,나의 의자,2006,133×58×50,2006-12-22,"흑단, 괴목, 서어나무"
439,서예,CA-85,이은혁,1965,독도불고(獨島不孤),2006,144×215,2006-12-22,종이에 수묵담채
440,서예,CA-86,이은혁,1965,천봉일학(千峰壹壑),2005,164×70,2006-12-22,종이에 수묵담채
441,회화,PA-89,조영대,1960,하봉마을 소나무,2004,227×182,2006-12-22,캔버스에 유채
442,한국화,KO-108,정승섭,1941,추성(秋聲),1972,162×130,2006-12-22,종이에 수묵담채
443,회화,PA-90,유휴열,1949,삶놀이,1994,162×130,2006-12-22,"캔버스에 유채, 혼합재료"
444,조각,SC-22,백철수,1950,존재의 율,1980,85×110×24,2006-12-22,나무
445,회화,PA-91,윤명로,1936,조망(眺望) MV-430,2005,180×227,2006-12-22,"캔버스에 철분, 아크릴릭"
446,서예,CA-87,이삼만,1770,초서6곡병,1800,99×45(×6),2007-10-22,종이에 먹
447,서예,CA-88,이삼만,1770,초서8곡병,1800,68×31(×8),2007-10-22,종이에 먹
448,서예,CA-89,이삼만,1770,각체서첩,1828,49.5×29(×78),2007-10-22,종이에 먹
449,서예,CA-90,김규완,1930,고시(古詩),1969,184.5×57,2007-10-22,종이에 먹
450,서예,CA-91,김규완,1930,해서,1968,192×66,2007-10-22,종이에 먹
451,한국화,KO-109,임신,1909,백마강, ,32.5×135.5,2007-10-22,종이에 수묵담채
452,한국화,KO-110,권병렬,1925,산수도8곡병,1976,112.5×312,2007-10-22,종이에 수묵담채
453,한국화,KO-111,최종인,1932,융화(融和),1988,139×108,2007-10-22,종이에 수묵담채
454,한국화,KO-112,최종인,1932,개벽(開闢),1988,139×108,2007-10-22,종이에 수묵담채
455,회화,PA-92,소병호,1931,농한(農閑),1971,130×162,2007-10-22,캔버스에 유채
456,회화,PA-93,박장년,1938,마포87-7,1987,240×130.3,2007-10-22,생마포에 유채
457,회화,PA-94,김진석,1946,그림자-忘我7812,1978,298×197,2007-10-22,캔버스에 유채
458,조각,SC-23,강용면,1950,온고지신(溫故知新),2007,145×133×133,2007-10-22,"브론즈,모자이크"
459,공예,CR-6,이광진,1951,명(皿),2007,42.5×41×41,2007-10-26,"청자토, 화장토"
460,공예,CR-7,이광진,1951,기(器),2007,8×56.3×56.3,2007-10-26,"청자토, 화장토"
461,사진,PH-113,정주하,1958,서쪽 바다,2004,95×95,2007-10-22,Gelatin Silver
462,사진,PH-114,정주하,1958,서쪽 바다,2004,95×95,2007-10-22,Gelatin Silver
463,서예,CA-92,김규완,1930,이화월백(梨花月白),1988,203×67.5,2007-10-22,종이에 먹
464,한국화,KO-113,권병렬,1925,설경,1980,69×134,2007-10-22,종이에 수묵담채
465,한국화,KO-114,문재성,1967,황등석산,2004,130×161.5,2007-10-22,종이에 수묵담채
466,회화,PA-95,고상준,1953,갯내음,1985,112.1×145.5,2008-01-04,캔버스에 유채
467,회화,PA-96,고상준,1953,겨울이야기,1997,130.3×162.2,2008-01-04,캔버스에 유채
468,회화,PA-97,이정웅,1967,묵시-너를 위한 시,1995,145.5×112.1,2008-01-04,혼합재료
469,회화,PA-98,권영술,1920,산, ,33.4×45.5,2008-01-04,하드보드에 유채
470,회화,PA-99,권영술,1920,가을, ,45.5×37.9,2008-01-04,하드보드에 유채
471,회화,PA-100,권영술,1920,계곡, ,45.5×33.4,2008-01-04,하드보드에 유채
472,한국화,KO-115,하수경,1950,사람들,1989,177×132,2008-01-04,"한지에 먹,채색,황토"
473,한국화,KO-116,나상목,1924,하경산수도,1957,137.5×348,2008-01-04,종이에 수묵담채
474,조각,SC-24,윤석구,1947,무지개 2007,2007,445×300×290,2008-01-04,브론즈
475,회화,PA-101,이건용,1942,신체드로잉 76-2-07-01,2007,235×200,2008-01-04,캔버스에 아크릴릭
476,회화,PA-102,오스트로브스키,1953,무제,2002,31×22,2008-01-04,종이에 드로잉
477,회화,PA-103, 오스트로브스키,1953,무제,2005,29.5×20.5,2008-01-04,종이에 드로잉
478,회화,PA-104,오스트로브스키,1953,무제,2005,29.5×20.5,2008-01-04,종이에 드로잉
479,회화,PA-105,이정웅,1967,空-07-Ⅷ,2007,38×160.8,2008-01-04,판넬위에 자동차 도료+책
480,한국화,KO-117,박순철,1963,침묵,2003,340×1.410,2008-01-04,종이에 수묵담채
481,한국화,KO-118,하수경,1950,대좌(對坐),1985,137×104,2008-01-04,한지에 수묵담채
482,한국화,KO-119,연정희,1959,황욱선생 초상화,2004,162.2×130.3,2008-01-04,종이에 수묵채색
483,조각,SC-25,강용면,1957,온고지신(溫故知新),2003,78×60×60,2008-01-04,"스테인리스, 혼합재료"
484,조각,SC-26,강용면,1957,온고지신(溫故知新),2003,78×60×60,2008-01-04,"스테인리스, 혼합재료"
485,조각,SC-27,강용면,1957,온고지신(溫故知新),2003,78×60×60,2008-01-04,"스테인리스, 혼합재료"
486,한국화,KO-120,이용휘,1937,춘 흥,1980,182×122,2008-11-28,한지에 수묵담채
487,한국화,KO-121,송계일,1940,산의 노을,1989,130×194,2008-11-28,한지에 수묵담채
488,한국화,KO-122,곽석손,1948,塔 92-04,1992,162×130,2008-11-28,종이에 수묵담채
489,회 화,PA-106,하상용,1949,새,1985,80×100,2008-11-28,캔버스에 유채
490,회 화,PA-107,박남재,1929,격포의 파도,2007,160×234,2008-11-28,캔버스에 유채
491,회 화,PA-108,이창규,1944,수도자,1988,91×117,2008-11-28,캔버스에 유채
492,회 화,PA-109,양순실,1971,깊은 하루,2007,97×130.3,2008-11-28,캔버스에 아크릴
493,회 화,PA-110,양순실,1971,깊은 하루,2007,97×97,2008-11-28,캔버스에 아크릴
494,조 각,SC-28,계낙영,1948,융점상승,1981,278×46×43,2008-11-28,목조
495,한국화,KO-123,이용휘,1937,저수지의 아침,1990,57×132,2008-11-28,한지에 수묵담채
496,한국화,KO-124,이용휘,1937,산그림자 Ⅰ,2000,97×230,2008-11-28,한지에 수묵담채
497,한국화,KO-125,송계일,1940,석벽의 공간,1988,130×194,2008-11-28,한지에 수묵채색
498,한국화,KO-126,곽석손,1948,塔 88-07,1988,142×123,2008-11-28,종이에 수묵담채
499,회 화,PA-111,이창규,1944,백여리 가을 Ⅱ,1994,91×117,2008-11-28,캔버스에 유채
500,회 화,PA-112,김용수,1977,융합의 서곡,2006,162×130,2008-11-28,혼합재료
501,회 화,PA-113,이병하,1925,입춘(立春),1987,113×145,2008-11-28,캔버스에 유채
502,회 화,PA-114,이병하,1925,산벚꽃,2002,72.5×91,2008-11-28,캔버스에 유채
503,조 각,SC-29,계낙영,1948,융점상승,1982,265×40×40,2008-11-28,목조
504,회 화,PA-115,이경훈,1921,토막촌(土幕村) 홍은동에서,1967,33.5×45.5,2008-11-28,캔버스에 유채
505,회 화,PA-116,이경훈,1921,유화 004, ,53×65,2008-11-28,캔버스에 유채
506,회 화,PA-117,이경훈,1921,유화 013,1968,116×91,2008-11-28,캔버스에 유채
507,회 화,PA-118,이경훈,1921,소녀상(少女像),1982,53×45.5,2008-11-28,캔버스에 유채
508,회 화,PA-119,이경훈,1921,수채화 006, ,32×25,2008-11-28,종이에 수채
509,회 화,PA-120,이경훈,1921,수채화 007, ,26.8×19.5,2008-11-28,종이에 수채
510,드로잉,DP-22,이경훈,1921,스케치 031, ,33×20.3,2008-11-28,종이에 목탄
511,드로잉,DP-23,이경훈,1921,스케치 041,1975,29.8×22.8,2008-11-28,종이에 연필
512,한국화,KO-127,최은숙,1961,저 너머에는...,2008,59×32.5,2008-12-23,화선지에 먹과 채색
513,한국화,KO-128,이희춘,1963,꿈-중도읽기,2008,120×120,2008-12-23,한지에 수묵채색
514,한국화,KO-129,임대준,1967,경기전 이미지-여름,2002,93×194,2008-12-23,수묵
515,한국화,KO-130,정문배,1966,캠퍼스의 가을,2004,130×162,2008-12-23,수묵담채
516,한국화,KO-131,양성모,1976,사적인 신전,2008,167×135(×2),2008-12-23,장지에 먹
517,한국화,KO-132,기원진,1974,삶-소리,2008,117×91,2008-12-23,장지에 채색
518,회 화,PA-121,진창윤,1964,한낮의 술,2008,122×288,2008-12-23,캔버스에 아크릴
519,회 화,PA-122,이석중,1965,回想-기억풀이,2003,112.1×162.2,2008-12-23,캔버스에 유채
520,회 화,PA-123,김신교,1966,공간-흔적,1993,162.2×112.1,2008-12-23,"캔버스에 유채, 오브제"
521,회 화,PA-124,김중수,1974,Bus - The Others,2006,165×122,2008-12-23,캔버스에 유채
522,회 화,PA-125,홍선기,1959,상념 - 여로,1996,162×260,2008-12-23,혼합기법
523,회 화,PA-126,최만식,1969,그들의 환경-전주 용복동 왕버들,2008,110×227.3,2008-12-23,캔버스에 아크릴
524,회 화,PA-127,임승한,1972,Another Shadow,2005,116.8×80.3,2008-12-23,"캔버스에 아크릴, 혼합매체"
525,회 화,PA-128,조해준,1972,It's it!,2005,125×205×25,2008-12-23,"디지털 프린트, 라이트박스(스틸)"
526,회 화,PA-129,김철규,1974,<인체풍경>-풍요와 빈곤,2008,136×170,2008-12-23,캔버스에 아크릴
527,회 화,PA-130,류재현,1964,길 2008 - ,2008,89.4×130.3,2008-12-23,캔버스에 유채
528,조 각,SC-30,차주만,1965,달리는 사람,2001,61×62×159,2008-12-23,청동 소조
529,조 각,SC-31,이효문,1968,내안으로부터...,2007,50×43×103,2008-12-23,느티나무 접목
530,조 각,SC-32,이강천,1970,삶 +인,2004,55×20×30,2008-12-23,브론즈
531,공 예,CR-8,안시성,1966,달항아리,2006,45×45×40,2008-12-23,옹기토 장작가마소성
532,공 예,CR-9,신익창,1968,"빛과 어두움, 그리고 경계",2005,60×60×60,2008-12-23,혼합점토
533,한국화,KO-133,강영봉,1943,소나기가 지나간 날,1988,133×97,2008-12-23,종이에 수묵담채
534,한국화,KO-134,강영봉,1943,자연과 나 1,1989,145×97,2008-12-23,종이에 수묵담채
535,한국화,KO-135,강영봉,1943,자연과 나 2,1989,97×145,2008-12-23,종이에 수묵담채
536,한국화,KO-136,강영봉,1943,자연과 나 3,1989,163×112,2008-12-23,종이에 수묵담채
537,한국화,KO-137,강영봉,1943,자연과 나 4,1989,112×163,2008-12-23,종이에 수묵담채
538,한국화,KO-138,강영봉,1943,녹색나무 그늘속에,1998,97×133,2008-12-23,종이에 수묵담채
539,회 화,PA-131,박민평,1940,해바라기,1976,162×97,2008-12-23,캔버스에 유채
540,회 화,PA-132,박민평,1940,고향의 노래,1992,130.3×80.3,2008-12-23,캔버스에 유채
541,회 화,PA-133,박민평,1940,변산춘일(邊山春日),1994,88×173,2008-12-23,캔버스에 유채
542,회 화,PA-134,손아유,1949,예향색,1997,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
543,회 화,PA-135,손아유,1949,예향색,1997,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
544,회 화,PA-136,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
545,회 화,PA-137,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
546,회 화,PA-138,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
547,회 화,PA-139,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
548,회 화,PA-140,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
549,회 화,PA-141,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
550,회 화,PA-142,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
551,회 화,PA-143,손아유,1949,예향색,1996,38×56,2008-12-23,"종이에 수채, 목탄, 크레용"
552,회 화,PA-144,손아유,1949,예향색,1999,54×78.5,2008-12-23,"종이에 크레용, 연필"
553,회 화,PA-145,손아유,1949,예향색,1999,49.5×65,2008-12-23,"종이에 크레용, 연필"
554,회 화,PA-146,손아유,1949,예향색,1999,53.5×72,2008-12-23,"종이에 크레용, 연필"
555,회 화,PA-147,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
556,회 화,PA-148,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
557,회 화,PA-149,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
558,회 화,PA-150,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
559,회 화,PA-151,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
560,회 화,PA-152,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
561,회 화,PA-153,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
562,회 화,PA-154,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
563,회 화,PA-155,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
564,회 화,PA-156,손아유,1949,형태의 소거 또는 검은색의 간격,1988,55×79,2008-12-23,종이에 먹
565,회 화,PA-157,손아유,1949,기억의 위치,1992,106×70,2008-12-23,"종이에 연필, 크레용"
566,회 화,PA-158,손아유,1949,기억의 위치,1996,76.5×57,2008-12-23,"종이에 연필, 크레용"
567,회 화,PA-159,손아유,1949,공간의 표리,1996,100×65.5,2008-12-23,종이에 연필
568,회 화,PA-160,손아유,1949,예향색,1996,100×70,2008-12-23,"종이에 수채, 목탄, 크레용"
569,회 화,PA-161,손아유,1949,예향색,1996,100×70,2008-12-23,"종이에 수채, 목탄, 크레용"
570,회 화,PA-162,손아유,1949,예향색,1996,100×70,2008-12-23,"종이에 수채, 목탄, 크레용"
571,회 화,PA-163,손아유,1949,예향색,1996,100×70,2008-12-23,"종이에 수채, 목탄, 크레용"
572,회 화,PA-164,손아유,1949,예향색,1996,100×70,2008-12-23,"종이에 수채, 목탄, 크레용"
573,회 화,PA-165,손아유,1949,색의 간격 W-86-16,1987,106.5×78.5,2008-12-23,종이에 수채
574,회 화,PA-166,손아유,1949,색의 간격 WS-87-2,1987,78.5×106.5,2008-12-23,종이에 수채
575,회 화,PA-167,손아유,1949,색의 간격,1987,106.5×79,2008-12-23,종이에 수채
576,회 화,PA-168,손아유,1949,색의 간격,1987,106.5×79,2008-12-23,종이에 수채
577,회 화,PA-169,손아유,1949,색의 간격,1987,106.5×79,2008-12-23,종이에 수채
578,회 화,PA-170,손아유,1949,색의 간격,1987,106.5×79,2008-12-23,종이에 수채
579,회 화,PA-171,손아유,1949,색의 간격 W-87-42,1987,106.5×79,2008-12-23,종이에 수채
580,회 화,PA-172,손아유,1949,색의 간격,1986,106.5×79,2008-12-23,종이에 수채
581,회 화,PA-173,손아유,1949,색의 간격 W-86-08,1986,106.5×79,2008-12-23,종이에 수채
582,회 화,PA-174,손아유,1949,색의 간격,1986,106.5×79,2008-12-23,종이에 수채
583,회 화,PA-175,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
584,회 화,PA-176,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
585,회 화,PA-177,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
586,회 화,PA-178,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
587,회 화,PA-179,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
588,회 화,PA-180,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
589,회 화,PA-181,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
590,회 화,PA-182,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
591,회 화,PA-183,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
592,회 화,PA-184,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
593,회 화,PA-185,손아유,1949,예향색,1996,182×95,2008-12-23,"종이에 수채, 목탄, 크레용"
594,판 화,DP-24,손아유,1949,무 제,1992,9×10.5,2008-12-23,판화
595,판 화,DP-25,손아유,1949,무 제,1991,18×13.5,2008-12-23,판화
596,판 화,DP-26,손아유,1949,무 제,1993,36×23,2008-12-23,판화
597,판 화,DP-27,손아유,1949,무 제,1992,9.5×18.5,2008-12-23,판화
598,판 화,DP-28,손아유,1949,무 제,1994,14×5,2008-12-23,판화
599,판 화,DP-29,손아유,1949,무 제,1997,18×18,2008-12-23,판화
600,판 화,DP-30,손아유,1949,무 제, ,15×8.5,2008-12-23,판화
601,판 화,DP-31,손아유,1949,무 제,1996,14.5×10,2008-12-23,판화
