관리번호,부문,작품번호,작가명,생몰연도,명제,제작년도,규격(㎝),소장일자,기법 및 재료
101,한국화,KO-24,황용하,1899,묵국도,1936,140×70,2005-06-28,종이에 먹
102,회화,PA-13,천칠봉,1920,10월,1980,100×80,2005-06-28,캔버스에 유채
103,회화,PA-14,한소희,1924,설경,1976,50.5×65,2005-06-28,캔버스에 유채
104,회화,PA-15,홍순무,1935,축제,1995,130×194,2005-06-28,캔버스에 유채
105,회화,PA-16,박민평,1940,해바라기,1975,162×97,2005-06-28,캔버스에 유채
106,한국화,KO-25,이광열,1885,매화도10곡병, ,127×332,2005-06-28,종이에 수묵담채
107,회화,PA-17,홍순무,1935,삶,1982,72.7×60.6,2005-06-28,캔버스에 유채
108,회화,PA-18,박민평,1940,붉은 산,1984,73×91,2005-06-28,캔버스에 유채
109,서예,CA-45,이삼만,1770,초서8곡병, ,81×41(×8),2005-11-16,종이에 먹
110,서예,CA-46,이삼만,1770,정기이발(正己而發), ,20×74,2005-11-16,종이에 먹
111,서예,CA-47,이삼만,1770,행서첩, ,30×15(×26),2005-11-16,종이에 먹
112,서예,CA-48,서홍순,1804,초서8곡병, ,98×43(×8),2005-11-16,종이에 먹
113,서예,CA-49,서홍순,1804,초서8곡병, ,120×48(×8),2005-11-16,종이에 먹
114,서예,CA-50,서홍순,1804,각체서첩, ,22×12(×52),2005-11-16,종이에 먹
115,서예,CA-51,서병우,미상,초서10곡병, ,114×29(×10),2005-11-16,종이에 먹
116,한국화,KO-26,최석환,1808,묵포도도, ,26.5×170,2005-11-16,종이에 먹
117,한국화,KO-27,최석환,1808,묵포도도, ,103×30,2005-11-16,종이에 먹
118,한국화,KO-28,최석환,1808,석매도8곡병, ,61×29(×8),2005-11-16,종이에 수묵담채
119,한국화,KO-29,이정직,1841,괴석도10곡병, ,84×30(×10),2005-11-16,비단에 먹
120,한국화,KO-30,이정직,1841,문인화8곡병, ,80×26(×8),2005-11-16,종이에 먹
121,서예,CA-52,이정직,1841,행서8곡병, ,9.5×30(×8),2005-11-16,종이에 먹
122,한국화,KO-31,조주승,1854,묵죽도8곡병, ,58×31.5(×8),2005-11-16,종이에 먹
123,한국화,KO-32,조주승,1854,석란도, ,114×30,2005-11-16,종이에 먹
124,서예,CA-53,조주승,1854,행서대련, ,124×23(×2),2005-11-16,종이에 먹
125,서예,CA-54,조주승,1854,행서대련, ,118×36(×2),2005-11-16,종이에 먹
126,서예,CA-55,조주승,1854,행서횡액, ,24×160,2005-11-16,종이에 먹
127,한국화,KO-33,조기석,1876,묵죽도, ,133×31.5,2005-11-16,종이에 먹
128,서예,CA-56,조기석,1876,행서대련, ,129×32(×2),2005-11-16,종이에 먹
129,한국화,KO-34,송기면,1882,묵죽도, ,107×36,2005-11-16,종이에 먹
130,한국화,KO-35,송기면,1882,묵죽도, ,39×92,2005-11-16,종이에 먹
131,서예,CA-57,송기면,1882,사언집구(四言集句), ,39×92,2005-11-16,종이에 먹
132,한국화,KO-36,유영완,1892,묵죽도8곡병, ,125×33(×8),2005-11-16,종이에 먹
133,한국화,KO-37,유영완,1892,묵죽도10곡병, ,109×32(×10),2005-11-16,종이에 먹
134,한국화,KO-38,유영완,1892,풍죽도, ,114×41,2005-11-16,종이에 먹
135,서예,CA-58,유영완,1892,초서대련, ,123×32(×2),2005-11-16,종이에 먹
136,서예,CA-59,최규상,1891,와당10곡병, ,132×34(×10),2005-11-16,종이에 먹
137,서예,CA-60,최규상,1891,송심백절(松心柏節), ,32.5×125,2005-11-16,종이에 먹
138,서예,CA-61,최규상,1891,지족상락(知足常樂), ,28×119,2005-11-16,종이에 먹
139,서예,CA-62,최규상,1891,전서횡액, ,31×124,2005-11-16,종이에 먹
140,한국화,KO-39,이광열,1885,사군자12곡병, ,128×30(×12),2005-11-16,종이에 먹
141,한국화,KO-40,이광열,1885,문인화10곡병, ,105×32(×10),2005-11-16,종이에 수묵담채
142,한국화,KO-41,이광열,1885,백납도8곡병, ,83×32(×8),2005-11-16,종이에 수묵담채
143,한국화,KO-42,이광열,1885,묵죽도, ,31×126,2005-11-16,종이에 먹
144,한국화,KO-43,이광열,1885,설죽도, ,30×118,2005-11-16,종이에 먹
145,한국화,KO-44,이광열,1885,묵매도, ,29×124,2005-11-16,종이에 먹
146,서예,CA-63,이광열,1885,행초서8곡병, ,104×32.5(×8),2005-11-16,종이에 먹
147,서예,CA-64,이광열,1885,연비어약(鳶飛魚躍), ,31×128,2005-11-16,종이에 먹
148,한국화,KO-45,배석린,1884,산수도, ,127×46,2005-11-16,비단에 수묵담채
149,한국화,KO-46,임신,1912,산수도10곡병, ,128×30(×10),2005-11-16,종이에 수묵담채
150,한국화,KO-47,임신,1912,금강산도, ,33×130,2005-11-16,종이에 수묵담채
151,한국화,KO-48,송태회,1872,금강산도10곡병, ,114×31(×10),2005-11-16,종이에 수묵담채
152,한국화,KO-49,송태회,1872,무이구곡도, ,51.5×137.5,2005-11-16,비단에 먹
153,한국화,KO-50,송태회,1872,문인화8곡병, ,113×32(×8),2005-11-16,종이에 먹
154,서예,CA-65,송태회,1872,행서10곡병, ,112×32(×10),2005-11-16,종이에 먹
155,한국화,KO-51,김정회,1903,사군자10곡병, ,127×33(×10),2005-11-16,종이에 먹
156,한국화,KO-52,김정회,1903,묵죽도, ,33×125,2005-11-16,종이에 먹
157,서예,CA-66,김정회,1903,송학제수(松鶴齊壽), ,31.5×128,2005-11-16,종이에 먹
158,한국화,KO-53,이용우,1904,화조도, ,128×32,2005-11-16,종이에 수묵담채
159,한국화,KO-54,이용우,1904,화조도, ,128×32,2005-11-16,종이에 수묵담채
160,한국화,KO-55,황용하,1899,석국도, ,129×33,2005-11-16,종이에 먹
161,한국화,KO-56,김희순,1886,묵죽도, ,125×52,2005-11-16,종이에 먹
162,한국화,KO-57,김희순,1886,묵난도, ,125×52,2005-11-16,종이에 먹
163,한국화,KO-58,이상길,1901,산수도, ,96×42,2005-11-16,종이에 수묵담채
164,한국화,KO-59,조중태,1902,노안도, ,13×123,2005-11-16,종이에 수묵담채
165,한국화,KO-60,김종현,1912,산수도8곡병, ,130×33(×8),2005-11-16,종이에 수묵담채
166,서예,CA-67,백홍기,1913,경사이신(敬事而信), ,33×127,2005-11-16,종이에 먹
167,한국화,KO-61,송성용,1913,묵죽도8곡병, ,123×334,2005-11-16,종이에 먹
168,한국화,KO-62,송성용,1913,묵죽도, ,35×202,2005-11-16,종이에 먹
169,서예,CA-68,송성용,1913,예서횡액, ,26×180,2005-11-16,종이에 먹
170,서예,CA-69,송성용,1913,행초서대련, ,127×32(×2),2005-11-16,종이에 먹
171,한국화,KO-63,나상목,1924,산수도 가리개,1981,104×57(×2),2005-11-16,종이에 수묵담채
172,한국화,KO-64,나상목,1924,산수도, ,33×133,2005-11-16,종이에 수묵담채
173,한국화,KO-65,박진수,미상,영모도10곡병, ,72.5×32(×10),2005-11-16,낙화(烙畵)
174,서예,CA-70,이삼만,1770,초서10곡병, ,58×30(×10),2005-11-16,종이에 먹
175,서예,CA-71,이광열,1885,예서8곡병, ,127×32.5(×8),2005-11-16,종이에 먹
176,서예,CA-72,유영완,1892,초서8곡병, ,92×27.5(×8),2005-11-16,종이에 먹
177,서예,CA-73,최정균,1924,5체10곡병, ,127×32.5(×10),2005-11-16,종이에 먹
178,서예,CA-74,김성근,1835,행서8곡병, ,92×37(×8),2005-11-16,종이에 먹
179,서예,CA-75,최규상,1891,전서10곡병, ,116.5×31(×10),2005-11-16,종이에 먹
180,한국화,KO-66,이남호,1908,학자도8곡병, ,139×34.5(×8),2005-11-16,종이에 수묵담채
181,한국화,KO-67,황성하,1891,산수도10곡병, ,123×38(×10),2005-11-16,종이에 수묵담채
182,한국화,KO-68,최석환,1808,묵포도도, ,103×45(×2),2005-11-16,종이에 먹
183,회화,PA-19,추광신,1923,황진지(黃津地),1974,61×82,2005-11-16,종이에 수채
184,서예,CA-76,송태회,1872,행서8곡병, ,93×34(×8),2005-11-16,종이에 먹
185,서예,CA-77,유영완,1892,해서5곡병, ,104×52.5(×5),2005-11-16,종이에 먹
186,서예,CA-78,김성근,1835,만백(晩白), ,43×90,2005-11-16,종이에 먹
187,한국화,KO-69,이광열,1885,노송죽석도, ,123×73(×2),2005-11-16,종이에 수묵담채
188,한국화,KO-70,김종현,1912,설경, ,113×286,2005-11-16,종이에 수묵
189,회화,PA-20,권기수,1972,낙하산,2004,227×182,2005-11-16,캔버스에 아크릴
190,회화,PA-21,최대섭,1927,흔적,1980,98×68.5,2005-11-16,"종이에 먹, 채색"
191,회화,PA-22,문복철,1941,"수, 지 대류",1983,133×208,2005-11-16,한지에 아크릴
192,조각,SC-8,김창희,1934,88-11 선율,1988,75×50×82,2005-11-16,브론즈
193,사진,PH-1,김대식,1947,금산사 미륵전 본존불,2004,30×40,2005-11-16,사진패널
194,사진,PH-2,김대식,1947,금산사 미륵전 현판,2004,40×30,2005-11-16,사진패널
195,회화,PA-23,문윤모,1919,우산을 쓴 여인, ,32×39.5,2005-11-16,캔버스에 유채
196,서예,CA-79,이광열,1885,예서10곡병, ,125.5×32(×10),2005-11-16,종이에 먹
197,한국화,KO-71,유영완,1892,사군자10곡병, ,125×32(×10),2005-11-16,종이에 먹
198,회화,PA-24,문복철,1941,시간여행 9817,1998,145.5×112,2005-11-16,한지
199,한국화,KO-72,방의걸,1938,산수도6곡병,1989,54×45(×6),2006-01-02,종이에 수묵담채
200,한국화,KO-73,김승학,1948,화율리의 겨울,2002,73×142,2006-01-02,종에에 수묵담채
201,한국화,KO-74,김학곤,1961,두만강변,2002,97×164,2006-01-02,종이에 수묵담채
202,한국화,KO-75,안동선,1965,구이 풍경,2001,80×180,2006-01-02,종이에 수묵담채
203,한국화,KO-76,안동선,1965,중인리 풍경,2000,130×162,2006-01-02,종이에 수묵담채
204,회화,PA-25,김홍,1915,금산사 풍경,1999,91×73,2006-01-02,캔버스에 유채
205,회화,PA-26,전병하,1925,바지락 캐는 여인,2005,73×100,2006-01-02,캔버스에 유채
206,회화,PA-27,김윤태,1938,떠난 자리,2003,73×91,2006-01-02,캔버스에 유채
207,회화,PA-28,이승백,1934,여운(餘韻),1985,119×91,2006-01-02,캔버스에 유채
208,회화,PA-29,이건용,1942,신체 드로잉 (샤먼-52),1988,227.3×181.8,2006-01-02,캔버스에 유채
209,회화,PA-30,김성민,1967,덩그러니,2004,122×122,2006-01-02,캔버스에 유채
210,회화,PA-31,김성민,1967,관계,2001,130×130,2006-01-02,캔버스에 유채
211,회화,PA-32,조헌,1964,"보이는 사슬,보이지 않는 사슬",2004,145.5×112.1,2006-01-02,캔버스에 유채
212,회화,PA-33,조헌,1964,추억 그리기,2002,116.8×80.3(×2),2006-01-02,캔버스에 유채
213,회화,PA-34,김영창,1910,국화, ,53×45.5,2006-01-02,캔버스에 유채
214,회화,PA-35,김영창,1910,도봉산 설경, ,60.6×50,2006-01-02,캔버스에 유채
215,공예,CR-1,한봉림,1947,영원한 운동,1993,88×88×67,2006-01-02,점토
216,공예,CR-2,김진송,1959,책벌레 이야기 연작,2005,10개,2006-01-02,나무에 채색
217,조각,SC-9,배형식,1926,나팔을 부는 여인,1982,80×104×187,2006-01-27,브론즈
218,공예,CR-3,한봉림,1947,영원한 운동,2004,30×30×45,2006-01-02,점토
219,회화,PA-36,김홍,1915,마이산 풍경,2004,61×72,2006-01-02,캔버스에 유채
220,회화,PA-37,전병하,1925,민족의 비극,2000,53×45,2006-01-02,캔버스에 유채
221,회화,PA-38,김윤태,1938,정든 포구,2004,60.5×73,2006-01-02,캔버스에 유채
222,회화,PA-39,이승백,1934,부안 변산의 해경,2001,50×65,2006-01-02,캔버스에 유채
223,회화,PA-40,이건용,1942,신체 드로잉 76-1-2002,2002,172×120,2006-01-02,나무에 아크릴
224,회화,PA-41,이복수,1922,산,1999,41×53,2006-01-02,캔버스에 유채
225,회화,PA-42,이복수,1922,모악설경,1982,38×45.5,2006-01-02,캔버스에 유채
226,한국화,KO-77,방의걸,1938,산수도,1978,55×118,2006-01-02,종이에 수묵담채
227,한국화,KO-78,김승학,1948,외금강 상팔담,2001,90×130,2006-01-02,종이에 수묵
228,한국화,KO-79,김학곤,1961,설경,2004,68×128,2006-01-02,종이에 수묵담채
229,한국화,KO-80,김병종,1953,숲의 가족,2002,184.5×245,2006-01-02,닥판에 먹과 채색
231,회화,PA-43,문복철,1941,상황,1961,131×163,2006-01-02,캔버스에 유채
232,회화,PA-44,문복철,1941,전이,1977,146×113,2006-01-02,캔버스에 유채
233,회화,PA-45,문복철,1941,전이,1978,163×131,2006-01-02,한지에 아크릴릭
234,회화,PA-46,문복철,1941,대류,1979,91×116.5,2006-01-02,한지에 아크릴릭
235,회화,PA-47,문복철,1941,대류,1980,80.3×100,2006-01-02,한지에 아크릴릭
236,회화,PA-48,문복철,1941,내공,1988,67×42(×3),2006-01-02,한지에 아크릴릭
237,회화,PA-49,문복철,1941,내공,1990,190×126,2006-01-02,한지에 아크릴릭
238,회화,PA-50,문복철,1941,삶의 춤,1991,82×114,2006-01-02,한지에 아크릴릭
239,회화,PA-51,문복철,1941,삶의 춤,1992,124×161,2006-01-02,한지에 아크릴릭
240,회화,PA-52,문복철,1941,삶의 소리,1996,188×290,2006-01-02,한지에 아크릴릭
241,사진,PH-3,신철균,1929,A-1963-01,1963,22×32,2006-01-02,흑백사진
242,사진,PH-4,신철균,1929,A-1963-02,1963,32×23,2006-01-02,흑백사진
243,사진,PH-5,신철균,1929,A-1964-02,1964,14×32,2006-01-02,흑백사진
244,사진,PH-6,신철균,1929,A-1964-05,1964,17×32,2006-01-02,흑백사진
245,사진,PH-7,신철균,1929,A-1964-06,1964,22×32,2006-01-02,흑백사진
246,사진,PH-8,신철균,1929,A-1964-07,1964,14×32,2006-01-02,흑백사진
247,사진,PH-9,신철균,1929,A-1964-14,1964,17×32,2006-01-02,흑백사진
248,사진,PH-10,신철균,1929,A-1965-04(B),1965,20×32,2006-01-02,흑백사진
249,사진,PH-11,신철균,1929,A-1965-08,1965,23×32,2006-01-02,흑백사진
250,사진,PH-12,신철균,1929,A-1966-02,1966,28×23,2006-01-02,흑백사진
251,사진,PH-13,신철균,1929,A-1967-06,1967,20×32,2006-01-02,흑백사진
252,사진,PH-14,신철균,1929,A-1967-09,1967,22×32,2006-01-02,흑백사진
253,사진,PH-15,신철균,1929,A-1967-09(B),1967,20×32,2006-01-02,흑백사진
254,사진,PH-16,신철균,1929,S-1967-성산(풍경),1967,22×32,2006-01-02,흑백사진
255,사진,PH-17,신철균,1929,A-1968-12,1968,32×17,2006-01-02,흑백사진
256,사진,PH-18,신철균,1929,A-1969-01,1969,22×32,2006-01-02,흑백사진
257,사진,PH-19,신철균,1929,C-1970-01,1970,23×32,2006-01-02,흑백사진
258,사진,PH-20,신철균,1929,A-1971-02,1971,32×23,2006-01-02,흑백사진
259,사진,PH-21,신철균,1929,A-1972-22 ,1972,32×22,2006-01-02,흑백사진
260,사진,PH-22,신철균,1929,A-1979-39,1979,32×23,2006-01-02,흑백사진
261,사진,PH-23,신철균,1929,A-1979-40,1979,32×23,2006-01-02,흑백사진
262,사진,PH-24,신철균,1929,A-1980-01,1980,20×32,2006-01-02,흑백사진
263,사진,PH-25,신철균,1929,A-1986-06,1986,20×32,2006-01-02,흑백사진
264,사진,PH-26,신철균,1929,A-1989-32,1989,22×32,2006-01-02,흑백사진
265,사진,PH-27,신철균,1929,A-1990-26,1990,23×28,2006-01-02,흑백사진
266,사진,PH-28,신철균,1929,A-1991-59,1991,22×32,2006-01-02,흑백사진
267,사진,PH-29,신철균,1929,A-1993-48,1993,32×22,2006-01-02,흑백사진
268,사진,PH-30,신철균,1929,A-1993-52,1993,32×23,2006-01-02,흑백사진
269,사진,PH-31,신철균,1929,A-1993-54,1993,22×32,2006-01-02,흑백사진
270,사진,PH-32,신철균,1929,A-1993-55,1993,23×32,2006-01-02,흑백사진
271,사진,PH-33,신철균,1929,A-1993-56,1993,22×32,2006-01-02,흑백사진
272,사진,PH-34,신철균,1929,A-1994-05,1994,23×23,2006-01-02,흑백사진
273,사진,PH-35,신철균,1929,A-1994-48 ,1994,17×32,2006-01-02,흑백사진
274,사진,PH-36,신철균,1929,A-1995-56,1995,22×32,2006-01-02,흑백사진
275,사진,PH-37,신철균,1929,A-1996-24,1996,32×22,2006-01-02,흑백사진
276,사진,PH-38,신철균,1929,A-1997-02,1997,32×22,2006-01-02,흑백사진
277,사진,PH-39,신철균,1929,A-1997-18,1997,32×20,2006-01-02,흑백사진
278,사진,PH-40,신철균,1929,A-1997-42,1997,20×32,2006-01-02,흑백사진
279,사진,PH-41,신철균,1929,A-1998-07,1998,23×32,2006-01-02,흑백사진
280,사진,PH-42,신철균,1929,A-1999-36 ,1999,32×23,2006-01-02,흑백사진
281,사진,PH-43,신철균,1929,A-1999-37,1999,32×23,2006-01-02,흑백사진
282,사진,PH-44,신철균,1929,A-2000-27,2000,23×32,2006-01-02,흑백사진
283,사진,PH-45,신철균,1929,A-2001-14,2001,20×32,2006-01-02,흑백사진
284,사진,PH-46,신철균,1929,A-2001-24,2001,17×32,2006-01-02,흑백사진
285,사진,PH-47,신철균,1929,A-2001-70,2001,32×17,2006-01-02,흑백사진
286,사진,PH-48,신철균,1929,A-2001-75,2001,32×17,2006-01-02,흑백사진
287,사진,PH-49,신철균,1929,A-2002-01,2002,14×32,2006-01-02,흑백사진
288,사진,PH-50,신철균,1929,A-2002-44,2002,20×32,2006-01-02,흑백사진
289,사진,PH-51,신철균,1929,A-2003-119,2003,32×20,2006-01-02,흑백사진
290,사진,PH-52,신철균,1929,C-1964-01 ,1964,32×23,2006-01-02,흑백사진
291,사진,PH-53,신철균,1929,C-1964-02,1964,20×32,2006-01-02,흑백사진
292,사진,PH-54,신철균,1929,C-1964-03,1964,23×32,2006-01-02,흑백사진
293,사진,PH-55,신철균,1929,C-1965-01,1965,20×32,2006-01-02,흑백사진
294,사진,PH-56,신철균,1929,C-1965-05,1965,22×32,2006-01-02,흑백사진
295,사진,PH-57,신철균,1929,C-1965-07,1965,20×32,2006-01-02,흑백사진
296,사진,PH-58,신철균,1929,C-1966-02,1966,32×22,2006-01-02,흑백사진
297,사진,PH-59,신철균,1929,C-1966-03,1966,20×32,2006-01-02,흑백사진
298,사진,PH-60,신철균,1929,C-1967-01,1967,32×22,2006-01-02,흑백사진
299,사진,PH-61,신철균,1929,C-1967-12,1967,32×23,2006-01-02,흑백사진
300,사진,PH-62,신철균,1929,C-1968-02,1968,20×32,2006-01-02,흑백사진
301,사진,PH-63,신철균,1929,C-1968-07,1968,20×32,2006-01-02,흑백사진
302,사진,PH-64,신철균,1929,C-1968-08,1968,17×32,2006-01-02,흑백사진
303,사진,PH-65,신철균,1929,C-1968-10,1968,28×23,2006-01-02,흑백사진
304,사진,PH-66,신철균,1929,C-1968-11,1968,14×32,2006-01-02,흑백사진
305,사진,PH-67,신철균,1929,C-1969-02,1969,32×22,2006-01-02,흑백사진
306,사진,PH-68,신철균,1929,C-1969-04,1969,20×32,2006-01-02,흑백사진
307,사진,PH-69,신철균,1929,C-1969-05,1969,20×32,2006-01-02,흑백사진
308,사진,PH-70,신철균,1929,C-1969-14,1969,14×32,2006-01-02,흑백사진
309,사진,PH-71,신철균,1929,C-1969-17,1969,20×32,2006-01-02,흑백사진
310,사진,PH-72,신철균,1929,C-1970-02,1970,17×32,2006-01-02,흑백사진
311,사진,PH-73,신철균,1929,C-1970-03,1970,17×32,2006-01-02,흑백사진
312,사진,PH-74,신철균,1929,C-1970-19,1970,20×32,2006-01-02,흑백사진
313,사진,PH-75,신철균,1929,C-1970-20,1970,20×32,2006-01-02,흑백사진
314,사진,PH-76,신철균,1929,C-1970-21,1970,14×32,2006-01-02,흑백사진
315,사진,PH-77,신철균,1929,C-1976-30,1976,32×22,2006-01-02,흑백사진
316,사진,PH-78,신철균,1929,C-1978-01,1978,22×32,2006-01-02,흑백사진
317,사진,PH-79,신철균,1929,C-1983-01,1983,32×20,2006-01-02,흑백사진
318,사진,PH-80,신철균,1929,C-1986-01,1986,32×22,2006-01-02,흑백사진
319,사진,PH-81,신철균,1929,C-1986-05,1986,17×32,2006-01-02,흑백사진
320,사진,PH-82,신철균,1929,C-1987-01,1987,32×23,2006-01-02,흑백사진
321,사진,PH-83,신철균,1929,C-1988-01,1988,20×32,2006-01-02,흑백사진
322,사진,PH-84,신철균,1929,C-1988-02,1988,32×23,2006-01-02,흑백사진
323,사진,PH-85,신철균,1929,C-1988-09,1988,32×22,2006-01-02,흑백사진
324,사진,PH-86,신철균,1929,C-1989-07,1989,22×32,2006-01-02,흑백사진
325,사진,PH-87,신철균,1929,C-1989-19,1989,32×22,2006-01-02,흑백사진
