작품명(한글),작품명(영문),크기,재질,작가(한글),작가(영문),국적,제작년월,설치장소,작품출처,작품이미지
어제와 그제-오늘과 내일,Yesterday and the before yesterday - Today and Tomorrow,7.0X3.0X4.0 (m),"자연석, 화강암, 철","디트만, 에릭",Dietman-Erik,스웨덴,1987-09-30,88마당,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0138.jpg
승리 서울-88,Victory Seoul-88,6.8X6.8X9.0 (m),합성 수지,"코시체, 귤라",Kosice-Gyula,아르헨티나,1988-04-30,벨로드롬 내,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0143.jpg
연(緣),Encounter 9801,9.4X1.6X3.5 (m),"화강암, 오석",박상숙,"Park, Sang-suk",대한민국,1998-09-30,우리금융아트홀,10주년 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0119.jpg
소리-삶 속에서,Voice-Among the live,2.4X1.5X7.3 (m),"화강암, 동",전 준,"Jeon, Jun",대한민국,1998-09-30,88마당 옆,10주년 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0122.jpg
개의 세계,Dog's own world,18.0X5.6X11.5 (m),"화강암, 철, 콘크리트","브뤼스, 마크",Brusse-Mark,네덜란드,1987-09-30,88마당,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0144.jpg
무제,Untitled,5.3X0.9X2.0 (m),화강암,엄태정,"Um, Tai-jung",대한민국,1988-09-30,88마당,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0150.jpg
힘찬 영혼,Power soul,7.2X7.0X4.0 (m),철,"에트로그, 소렐",Etrog-Sorel,캐나다,1988-04-30,체조경기장 주변,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0154.jpg
다른 두 개의 교차,Crossing,7.5X3.0X3.2 (m),청동,박종배,"Park, Chong-bae",대한민국,1988-04-30,체조경기장 주변,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0146.jpg
확산공간 88,Site for expansion 88,10.0X5.0X5.0 (m),청동,이종각,"Lee, Chong-gak",대한민국,1988-04-30,88마당 앞,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0147.jpg
88 서울올림픽,Seoul 88 Olympics,37.0X2.0X27.0 (m),콘크리트,"스타치올리, 마우로",Staccioli-Mauro,이탈리아,1987-09-30,체조경기장 주변,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0155.jpg
