작품명(한글),작품명(영문),크기,재질,작가(한글),작가(영문),국적,제작년월,설치장소,작품출처,작품이미지
제24회 서울올림픽 대회,Seoul XXIV Olympiad,30.0X18.0X12.0 (m),"화강암, 화산암, 콘크리트",디오한디,Diohandi,그리스,1987-09-30,파크텔 앞,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0176.jpg
너도 밤나무의 열매,Beech nuts,1.7X1.0X2.6 (m),스테인레스 스틸,"콩데, 앙드레 아팔테",Conde-Andre' Affalter,스위스,1988-09-30,회관근처 공원 외,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0028.jpg
올림픽 레이저 워터 스크린 2001,Olympic laser water screen 2001,30X1.0X28 (m),"레이저, 분수",백남준,"Baek, Nam-jun",대한민국,2001-04-15,몽촌해자,비디오아트홀 작품구입,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815155274379_b.jpg
서울올림피아드 기념비,Seoul olympiad monument,3.0X3.0X1.38 (m),"화강암, 청동",최만린,"Choi, Man-lin",대한민국,1992-01-01,평화의 광장,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815184243649_b.jpg
세계 평화의 문,World peace gate,"지하1층, 지상4층 62.0×37.0×24.0 (m)",철근 콘크리트,김중업,"Kim, Chung-up",대한민국,1988-08-21,평화의 광장,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815464688788_b.jpg
올림픽 운동 조형물-서울의 만남,Rendezvous in Seoul,20.8X20.8X7.2 (m),"화강암, 청동","최만린/수비라치,호셉 마리아","Choi, Man-lin, Subirachs-Josep Maria",대한민국/스페인,1989-08-30,평화의 광장 ,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815195851645_b.jpg
서울올림픽대회 기록 조형물-영광의 벽,Seoul olympic record monument - Wall of glory,104.0X4.0 (m),화강암,민철홍,"Min, Chol-hong",대한민국,1989-09-10,몽촌해자,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815171836781_b.jpg
수변무대벽화 (1),Mural 1,67.0X2.2 (m),"철, 에나멜","메세지어, 장",Messagier-Jean,프랑스,1988-09-30,몽촌해자,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815205542545_b.jpg
수변무대벽화 (2),Mural 2,67.0X2.2 (m),"철, 에나멜","프란체임, 엘리자베스",Franzheim-Elizabeth,미국,1988-09-30,몽촌해자,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815215628417_b.jpg
재일동포 성금 기념비,Koreans in Japan monument of support from Koreans residents in Japan,.,석재,한창조,"Han, Chang-jo",대한민국,1988-09-30,올림픽 회관 주변,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815452182764_b.jpg
터키 분수,,.,석재,터키 정부 기증,,터키,1988-06-30,회관 근처,기념조형물,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/200401081547563554_b.jpg
대지와 슬라브로 된 구조물,Earth and slab construction concrete,12.0X3.1X0.3 (m),콘크리트,"언스워드, 켄",Unxworth-Ken,오스트레일리아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0067.jpg
운명론을 위한 하나의 제안,A proposal for fatalism,3.0X1.0X6.0 (m),화강암,정관모,"Chung, Kwan-mo",대한민국,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0068.jpg
보르헤스를 기다리며,Waiting for Borges,1.4X1.9X2.3 (m),주철,"팔마, 우라노",Palma-Urano,이탈리아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0071.jpg
전사,Fighter,"0.79X0.45X1.9 (m), 1.1X0.5X1.5 (m)",화강암,"포포브, 에밀",Popov-Emil,불가리아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0069.jpg
강렬한 흰색,Hard White,1.9X0.5X2.2 (m),대리석,"콘사그라, 피에트로",Consagra-Pietro,이탈리아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0104.jpg
무제,Untitled,2.0X2.0X2.0 (m),철,"벨카이아, 파리드",Belkahia-Farid,모로코,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0105.jpg
뉴스,News,1.0X1.2X0.7,알루미늄,"메첼, 올라프",Metzel-Olaf,독일,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0108.jpg
현실의 세계-초월의 세계,Cis world-trans wood,1.8X0.7X2.3 (m),"철, 거울","델 칸도 바르가스, 파트리시아",Del Canto Vargas-Patricia,칠레,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0107.jpg
거대한 호상 주거,The great lacustrine,1.1X0.9X3.3 (m0,철,"포포비치, 콘스탄틴",Popovici-Constartin,루마니아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0111.jpg
5개의 불꽃을 위하여,For the five flames,3.3X0.7X4.2 (m),화강암,조성묵,"Cho, Sung-mook",대한민국,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0110.jpg
우주의 곤도라,Cosmic gondola,1.8X0.5X2.6 (m),청동,"셀미, 헤디",Selmi-Hedi,튀니지,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0034.jpg
서울-산소 20,Seoul-Oxygen20,6.0X4.0X2.0 (m),철,"무라오카, 사부로",Muraoka-Saburo,일본,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0112.jpg
달리는 사람들,Runners,2.4X1.1X2.3 (m),청동,"가다에프, 라자르",Gadaev-Lazar,러시아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0012.jpg
종,Bells,4.3X0.6X2.9 (m),철,"시디라튼, 비차이",Sithiratn-Vichai,타이,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0118.jpg
분열체,Body in fission,0.6X1.1X1.6 (m),합성수지,"델피노, 레오나르도",Delfino-Leonardo,아르헨티나,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0079.jpg
안티고네,Antigone,0.9X0.9X2.7 (m),청동,"와렌, 마이클",Warren-Michael,아일랜드,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0092.jpg
시간과 공간 속의 만남,Encounter in time and space,6.3X2.6X4.8 (m),"스테인레스 스틸, 합성 수지","루비오 섹스토, 파블로",Rubio-Sexto Pablo,푸에르토리코,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0080.jpg
사랑,Love,1.8X2.6X3.3 (m),청동,"외크템, 탄쿠트",Oktem-Tankut,터키,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0072.jpg
다프네,Daphne,0.8X0.7X2.6 (m),황동,"스파뉼로, 주제페",Spagnulo-Giuseppe,이탈리아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0093.jpg
막다른 골목,Dead end,0.4X0.2X1.0 (m),청동,"브릭스, 피터",Briggs-Peter,영국,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0082.jpg
원반던지는 사람,,1.6X0.9X2.6 (m),"스테인레스 스틸, 철","빈트비흐러, 마셔",Windbicher-Mascher,오스트리아,1988-09-30,조각의 숲,기증,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0073.jpg
개선의 기둥,Triumphant Column,0.8X0.4X2.0 (m),알루미늄,"오를로프, 보리스",Orlov-Boris,러시아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0081.jpg
보충적인 채굴,Complementary extraction,5.9X3.6X2.5 (m),코르텐 스틸,"노보아, 레오폴드",Novoa-Leopold,우루과이,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0094.jpg
단일 형태,Monoform,0.4X0.4X2.2 (m),스테인레스 스틸,"호네거, 고프리트",Honegger-Gottfried,스위스,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0084.jpg
상승 25,Elevation 25,4.6X4.5X0.5 (m),"철, 돌","클라르부, 장",Clareboudt-Jean,프랑스,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0075.jpg
건널목 건너기,Crossing passage,2.7X2.7X2.9 (m),철,"말마이스터, 수잔네",Mahlmeister-Susanne,독일,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0083.jpg
비행사들을 위한 표지판,Monument for aviators,1.3X1.4X3.2 (m),합성 수지,"코파치, 스라브코",Kopac-Slavko,유고슬라비아,1988-09-30,조각의 숲,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0121.jpg
